snr_db,ici_energy_fraction,one_tap_ber,cg_bw1_ber,cg_bw1_iterations,cg_bw1_relres,cg_bw1_nnz,cg_bw2_ber,cg_bw2_iterations,cg_bw2_relres,cg_bw2_nnz,cg_bw4_ber,cg_bw4_iterations,cg_bw4_relres,cg_bw4_nnz
6,0.2527473725965283,0.10100160256410257,0.07552083333333333,15.0,5.092739809750898e-08,142,0.046794871794871795,19.557692307692307,6.214973613372541e-08,234,0.04230769230769231,19.003846153846155,6.911118288786162e-08,412
10,0.2527473725965283,0.07051282051282051,0.03974358974358974,17.0,6.567423191264141e-08,142,0.013261217948717948,23.426923076923078,7.137824619225898e-08,234,0.010817307692307692,23.034615384615385,7.492289799582327e-08,412
14,0.2527473725965283,0.05536858974358974,0.026322115384615385,18.0,7.123530945108689e-08,142,0.0045673076923076926,25.965384615384615,7.171890827757961e-08,234,0.0037259615384615387,25.815384615384616,7.515122008871832e-08,412
18,0.2527473725965283,0.05012019230769231,0.023237179487179488,18.884615384615383,4.870707352959433e-08,142,0.002483974358974359,26.98846153846154,6.641142955197166e-08,234,0.002003205128205128,27.126923076923077,7.532754997690564e-08,412
22,0.2527473725965283,0.04651442307692308,0.022235576923076924,18.98846153846154,5.330928959058722e-08,142,0.0033253205128205127,27.323076923076922,7.460194508043404e-08,234,0.0026041666666666665,27.784615384615385,7.258796885567168e-08,412
