burst_strength,policy,task_utility_ratio,active_task_model_age,static_weighted_age,downlink_size_per_round
0.6,age_only,0.6882463521651092,10.976069418965738,11.585816416282192,0.2906005586592167
0.6,static_importance,0.7035139737684097,9.393468017371362,10.446493097164975,0.29077863128491505
0.6,task_aware,0.7820058298386585,8.121365584693622,9.632128586272923,0.29013268156424465
1.2,age_only,0.6912597881490601,10.921335055365383,11.834911337004382,0.2906145251396637
1.2,static_importance,0.7160262693776642,9.856126950757178,9.865136674447339,0.29048184357541784
1.2,task_aware,0.7964445519780978,8.343212547730982,9.205906396108618,0.29011522346368596
1.8,age_only,0.6987707574096148,10.463057766360393,11.456451391731015,0.2896648044692727
1.8,static_importance,0.7473335578128378,8.714525590930378,9.996679336191184,0.29144203910614414
1.8,task_aware,0.7714740049122091,10.03549843166666,10.322891837126765,0.290740223463686
2.4,age_only,0.6968428235850467,10.241340677451019,10.850178687667059,0.29034916201117206
2.4,static_importance,0.7321045584108612,8.671402399783883,9.820368226343028,0.2907157821229039
2.4,task_aware,0.7915247923001947,7.434982157322465,9.818437277584135,0.29059008379888146
3.0,age_only,0.6820497619859253,11.109577517601203,11.399553167867005,0.2912430167597754
3.0,static_importance,0.7451195406071758,8.334121066157339,9.193844209030114,0.2910858938547475
3.0,task_aware,0.7711415975589202,9.467941063344341,11.38668230544176,0.29040153631284793
3.6,age_only,0.6780139835989767,11.652821386024886,13.157066911871397,0.2909078212290492
3.6,static_importance,0.7351409272425371,8.036797853167684,9.962033764544895,0.2904643854748592
3.6,task_aware,0.7760030079757374,7.502732372983613,9.740574175577532,0.2905132681564234
