carbon_weight,excess_loss,total_carbon_proxy,participation_jain
0,0.020824990298797818,337.6902426900654,0.7427737575256615
0.25,0.015850264943892422,325.64749888337633,0.7363757079308847
0.5,0.009956777720046014,313.09282102816445,0.7248769592222338
0.75,0.00882616284465511,300.96630723890274,0.7116915541453465
1,0.009268821747099176,287.6286287361193,0.6943062680606192
1.5,0.017675701025385113,255.69774790061456,0.6304477187658954
2.0,0.04548722852780689,213.30027054787436,0.4996673495982165
