correlation,budget_bits_per_slot,policy,mean_csi_nmse,edge_rate,mean_sum_rate,used_bits_per_slot,p95_ap_age
0.95,64,round_robin,0.4072498927329437,0.5904143205957009,8.058077908683998,58.74551971326165,205.0
0.95,64,uncertainty_fixed,0.2661146505589733,0.5453536092611264,8.084468427660054,58.67383512544803,205.0
0.95,64,joint,0.14545475431718527,0.7465163738641041,9.230713612865985,63.333333333333336,55.05000000000018
0.95,96,round_robin,0.19825375702340978,0.7253956668196934,9.379382123717265,88.13620071684588,55.05000000000018
0.95,96,uncertainty_fixed,0.16695847667868793,0.7111852701230978,9.157565556890736,89.82078853046595,55.05000000000018
0.95,96,joint,0.09182220378758561,0.7841629476137342,9.689026779066454,96.0,55.05000000000018
0.95,128,round_robin,0.12798479194675275,0.8168882897233657,9.764436937003437,120.0,55.05000000000018
0.95,128,uncertainty_fixed,0.12194188227915398,0.7582994317641087,9.5277578334204,120.0,55.05000000000018
0.95,128,joint,0.06020727295405686,0.8400234090022894,9.93358073755965,127.97849462365592,55.05000000000018
0.95,192,round_robin,0.16849889960584763,0.7579869962276238,9.511768255962782,189.39068100358423,55.05000000000018
0.95,192,uncertainty_fixed,0.061975285276877276,0.8665634050177632,9.934296099529218,190.0,55.05000000000018
0.95,192,joint,0.018584366694839462,0.9183391887427035,10.269923864838363,191.99283154121864,55.05000000000018
0.98,64,round_robin,0.316767545776647,0.6767340077982339,8.39502994374654,58.74551971326165,205.0
0.98,64,uncertainty_fixed,0.11664317924217535,0.8028971064874206,9.532750200809373,58.74551971326165,55.05000000000018
0.98,64,joint,0.06203052165395617,0.8925137815095933,9.924334392067326,63.261648745519715,55.05000000000018
0.98,96,round_robin,0.09127724817384852,0.8597514027673646,9.94710659942542,88.13620071684588,55.05000000000018
0.98,96,uncertainty_fixed,0.07492518184313057,0.8619168642956979,9.83460035383518,89.96415770609319,55.05000000000018
0.98,96,joint,0.032387412353835646,0.9160305433285835,10.175520108550963,96.0,55.05000000000018
0.98,128,round_robin,0.056242554182644865,0.9043801600256065,10.124417475159694,120.0,55.05000000000018
0.98,128,uncertainty_fixed,0.05072348345531092,0.9041250207646779,10.065106382563016,120.0,55.05000000000018
0.98,128,joint,0.022013435793996106,0.9234022963325351,10.275727028276304,123.0179211469534,55.05000000000018
0.98,192,round_robin,0.08155905866955171,0.883573800141716,10.052305655139934,189.39068100358423,55.05000000000018
0.98,192,uncertainty_fixed,0.024142576900572768,0.9179718442242027,10.230763816297456,190.0,55.05000000000018
0.98,192,joint,0.011471454481137339,0.9377896130163047,10.344338507731523,187.0179211469534,55.05000000000018
0.995,64,round_robin,0.22101067439519187,0.9076946142848246,9.387429339954688,58.74551971326165,205.0
0.995,64,uncertainty_fixed,0.03510174173568057,1.0655031041826186,10.175311052099895,58.67383512544803,55.05000000000018
0.995,64,joint,0.02118139613900825,1.0966832501533246,10.258412901061426,62.30107526881721,55.05000000000018
0.995,96,round_robin,0.026891232441819346,1.0764092533515157,10.222775997401994,88.13620071684588,55.05000000000018
0.995,96,uncertainty_fixed,0.021327652757167883,1.081153039820716,10.213845394759423,89.92831541218638,55.05000000000018
0.995,96,joint,0.012121469202095218,1.0941056471753392,10.295129172476013,95.7921146953405,55.05000000000018
0.995,128,round_robin,0.01616199996598793,1.1109557320127397,10.29588478043194,120.0,55.05000000000018
0.995,128,uncertainty_fixed,0.013936796522639452,1.099372868108616,10.276018754991442,120.0,55.05000000000018
0.995,128,joint,0.008033157017033526,1.1028629652896536,10.310205532113844,126.34408602150538,55.05000000000018
0.995,192,round_robin,0.02463727945923879,1.108564465918888,10.275746755597565,189.39068100358423,55.05000000000018
0.995,192,uncertainty_fixed,0.007022256082032213,1.10438336176453,10.302016492118904,190.0,55.05000000000018
0.995,192,joint,0.0039637639211463176,1.1168559430635157,10.331056365527795,191.98566308243727,55.05000000000018
