propensity_drift,propensity_mode,mean_absolute_error,propensity_mae,propensity_brier,max_importance_weight
0,recorded_nominal,0.001171532776504292,0.0,0.0,1.1263916544770014
0,stale_recorded,0.001171532776504292,0.0,0.0,1.1263916544770014
0,estimated_full,0.001308809844789087,0.026334640014167413,0.0011912604541565763,1.374988573838368
0,estimated_crossfit,0.0014346600021673123,0.029374786296229704,0.0014900207037269583,1.4788630781332188
0,misspecified,0.0013304324413199082,0.01957890807802533,0.0006407172054193844,1.1574376862200078
0.5,recorded_nominal,0.002135412569418351,0.0,0.0,1.7476651599783573
0.5,stale_recorded,0.0024762086467947342,0.06501145785569791,0.009896250223242191,1.1238225998195495
0.5,estimated_full,0.002014810871356192,0.03394145602302442,0.0019274248344430837,2.6046540760412955
0.5,estimated_crossfit,0.0020305590616510904,0.036360700377177986,0.00223337699600352,2.6789472329899477
0.5,misspecified,0.0024559409709401605,0.07576989483539742,0.006854956082815125,1.218069180017252
1.0,recorded_nominal,0.0021826071299538654,0.0,0.0,3.1549084401169165
1.0,stale_recorded,0.005554217027380351,0.1217282835750369,0.03507952550979099,1.1213377143795433
1.0,estimated_full,0.002105252149605242,0.045830481612918146,0.0034673854985613674,5.794279482172669
1.0,estimated_crossfit,0.0020724650416699595,0.04778084474655447,0.0037937272457271368,6.154552474046018
1.0,misspecified,0.005291726166598146,0.13276830438754622,0.021111797341810026,1.4169943817257664
1.5,recorded_nominal,0.004289144266813714,0.0,0.0,5.897786549454762
1.5,stale_recorded,0.008384604485399407,0.16331486855914315,0.06366960970740874,1.1189846889340094
1.5,estimated_full,0.004602493499571275,0.052888756743280245,0.004678194063957548,15.51505988053615
1.5,estimated_crossfit,0.004631562960377852,0.05479682141779732,0.005042277375844213,15.753547283057292
1.5,misspecified,0.007991261975176673,0.17401359125877616,0.036854929020271925,1.6749516482167337
2.0,recorded_nominal,0.005969280393994139,0.0,0.0,9.445992776513737
2.0,stale_recorded,0.009169431654805023,0.1890836927930648,0.08572624135553375,1.1189846889340094
2.0,estimated_full,0.007187463032770285,0.05728008245868418,0.005655429351444425,34.14988980304259
2.0,estimated_crossfit,0.0069330350221674985,0.05929089843174168,0.006086138206124987,35.45256149983854
2.0,misspecified,0.008774525267327188,0.19863175996383678,0.04867171046607235,1.8390279334887332
