pa_saturation,median_mse,p90_mse,clip_fraction
0.7,0.0024973557182714568,0.004766481206961694,0.086943359375
1.0,0.001106999999760778,0.0020115747794185504,0.041880859375
1.4,0.00040224886759989683,0.000865760178893574,0.016759765625
2.0,0.00010888904700448476,0.0004094893127242803,0.00386328125
3.0,5.5260215681739866e-05,0.00029996247665272876,0.00017578125
99.0,5.398573732269692e-05,0.0002771750323565763,0.0
