drift_strength,recency_fraction,current_mean_absolute_error,window_mean_absolute_error,estimated_weighted_miss,current_oracle_weighted_miss,mean_standard_error
0,0.1,0.011138511749488603,0.008057689022206452,0.0705391083464172,0.07331115880039549,0.01213046125233468
0,0.2,0.004772341902343871,0.004772341902343871,0.07208062429404445,0.07331115880039549,0.008690172135276045
0,0.4,0.0058294263022779175,0.003532378541102145,0.0675497753302224,0.07331115880039549,0.005939877208664708
0,0.7,0.006272733935810587,0.0020702908969693324,0.06909086055296024,0.07331115880039549,0.0046830584162248935
0,1.0,0.006603991970619852,0.0024774943408758243,0.06750712255389626,0.07331115880039549,0.00388880941727876
0.5,0.1,0.008678566118264409,0.006572170955400953,0.11218186963688362,0.11397672877276817,0.015129044466900745
0.5,0.2,0.004589873250958348,0.004589873250958348,0.11237043170839464,0.11397672877276817,0.0106524207304587
0.5,0.4,0.008644057810806564,0.003651167385075954,0.10551559072209926,0.11397672877276817,0.00728178373655598
0.5,0.7,0.021868631562730993,0.0024255350050274545,0.09210809721003717,0.11397672877276817,0.005296983484240965
0.5,1.0,0.030434282974763215,0.002380235829057478,0.08354244579800493,0.11397672877276817,0.004262093318377276
1,0.1,0.012159518192425292,0.007327846804547141,0.16801469425289525,0.16789092814850742,0.01782717320408821
1,0.2,0.0053093305728454275,0.0053093305728454275,0.167201580356381,0.16789092814850742,0.012520415893140947
1,0.4,0.01159797829069174,0.003642707837638126,0.15629294985781575,0.16789092814850742,0.008571130443033865
1,0.7,0.04496924367964629,0.0025171104535733927,0.12292168446886116,0.16789092814850742,0.005951148808172048
1,1.0,0.06291275507163349,0.0025210441891965517,0.10497817307687399,0.16789092814850742,0.004679054545088409
1.5,0.1,0.012303364677964949,0.00601054605251809,0.23372703430440764,0.23332640263212195,0.019720947846023164
1.5,0.2,0.004947944547528349,0.004947944547528349,0.23314161078666026,0.23332640263212195,0.013866811502189982
1.5,0.4,0.013848251776356586,0.003720232548782143,0.2194781508557654,0.23332640263212195,0.009576287775716138
1.5,0.7,0.07270034387424809,0.002239669396789304,0.1606260587578739,0.23332640263212195,0.0065215127967797925
1.5,1.0,0.10209427398994766,0.0024791905884799653,0.13123212864217432,0.23332640263212195,0.005063857816326572
2,0.1,0.014074379020265915,0.008847055566141116,0.29811757367659314,0.3025981459684095,0.020791247862060762
2,0.2,0.005379263644217041,0.005379263644217041,0.29922763773014543,0.3025981459684095,0.014744412690227873
2,0.4,0.019270667284817865,0.004267194284872672,0.28332747868359165,0.3025981459684095,0.0102186997665795
2,0.7,0.1026287809390698,0.0026337271739974356,0.1999693650293397,0.3025981459684095,0.006969194484151789
2,1.0,0.14394507263167333,0.002666199142917089,0.15865307333673623,0.3025981459684095,0.005381099979191332
