pilot_snr_db,exact_support_probability,pilot_relative_residual,gain_nmse_when_support_correct,estimated_path_lmmse_ber,ci95_low,ci95_high,genie_lmmse_ber
0,0.0,0.926974153636371,nan,0.4576388888888889,0.453573271139205,0.46171015655565495,1.736111111111111e-05
5,0.0,0.9209456460794663,nan,0.3863020833333333,0.3823335041486739,0.3902858269880632,0.0
10,0.025,0.896614432842272,0.4610482691634242,0.26359375,0.2600115844027973,0.26720744630249355,0.0
15,0.2,0.8144530547366872,0.10238460840137918,0.08520833333333333,0.0829558812809457,0.08751610826233173,0.0
20,0.825,0.6332680502045682,0.025772677919373252,0.004461805555555556,0.003949589166424461,0.005040114396850636,0.0
25,1.0,0.42524231124214945,0.00911782527179855,5.208333333333334e-05,1.7713187984232088e-05,0.00015313407795252833,1.736111111111111e-05
