task_angle_deg,raw_mean_accuracy,task_specific_mean_accuracy,shared_rank1_mean_accuracy,shared_rank2_mean_accuracy,raw_uses,task_specific_uses,shared_rank1_uses,shared_rank2_uses
0,0.9021666666666667,0.9027777777777778,0.9051111111111111,0.9013888888888889,16,2,1,2
15,0.9003888888888889,0.9021944444444444,0.8943888888888889,0.9020555555555556,16,2,1,2
30,0.9021944444444445,0.8988888888888888,0.8710833333333333,0.8993611111111111,16,2,1,2
45,0.9047222222222222,0.9035555555555556,0.8435,0.9029722222222223,16,2,1,2
60,0.9003888888888889,0.9023611111111111,0.8108333333333333,0.9032777777777778,16,2,1,2
75,0.9040555555555556,0.9006666666666667,0.7755,0.9028888888888889,16,2,1,2
90,0.8999166666666667,0.8994166666666666,0.7001388888888889,0.9009444444444444,16,2,1,2
