debt_weight,excess_loss,total_carbon_proxy,participation_jain,minimum_participation_rate
0.5,0.016156080552301232,440.4317426959119,0.48166813038741946,0.01730769230769231
1,0.00882806930282288,477.5152815049689,0.7132348001815406,0.11346153846153846
2,0.006805359587299571,510.391068041077,0.9186536578165715,0.20961538461538465
4,0.0028318951088117847,517.8188737911248,0.9693581048446765,0.22435897435897437
8,0.0016592858829335422,522.4308520289584,0.9898362740663824,0.22692307692307692
12,0.0013865906957854501,526.4341429167002,0.9953966157077003,0.22820512820512825
