snr_db,ber_no_cfo_correction,ber_coarse_cfo_only,ber_coarse_cfo_plus_pilot_cpe,ber_genie_sync,evm_pct_pilot_cpe,timing_error,cfo_error,corr_score
4.000000000000000000e+00,4.516840277777777746e-01,4.293055555555555514e-01,1.863194444444444542e-01,1.679861111111111138e-01,6.097703952938080363e+01,0.000000000000000000e+00,3.445591713846188342e-03,7.437710678800575348e-01
8.000000000000000000e+00,4.346527777777777768e-01,4.300868055555555625e-01,9.032986111111111771e-02,7.932291666666667351e-02,3.791201292068187456e+01,0.000000000000000000e+00,-9.073458864117825429e-03,8.580205996497953791e-01
1.200000000000000000e+01,4.264583333333333282e-01,4.163368055555555780e-01,2.479166666666666671e-02,1.762152777777777762e-02,2.426787789045044619e+01,0.000000000000000000e+00,1.116544899485297226e-02,9.046767163270369450e-01
1.600000000000000000e+01,4.226909722222222388e-01,4.138368055555555758e-01,1.423611111111111171e-03,6.944444444444444709e-04,1.515582346813897985e+01,0.000000000000000000e+00,-3.855615171062032331e-03,9.377607429954512019e-01
2.000000000000000000e+01,4.218055555555555447e-01,4.326562500000000200e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.514788547597213153e+00,0.000000000000000000e+00,5.091443058335226590e-03,9.437439785006843662e-01
2.400000000000000000e+01,4.209027777777777923e-01,4.319097222222222365e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.024123444204295907e+00,0.000000000000000000e+00,2.547427937781773788e-03,9.498979910941719451e-01
