mean_snr_db,policy,mean_control_cost,p95_control_cost,estimation_rmse,mean_information_age,max_state_excursion,update_success_fraction,selection_jain
-4,round_robin,527.3264932229827,1922.3479796022568,12.509970318891666,27.654871794871795,80.0,0.2447008547008547,1.0
-4,max_age,124.32544876589802,804.6503204767882,3.4812474800168576,18.834008547008548,75.92345924466382,0.1702991452991453,0.7709857907200514
-4,max_error,21.663870989903295,41.643328449160414,1.283794100001253,22.42791452991453,50.741701088859685,0.18235042735042736,0.8386322771429011
-4,control_value,14.300716206163965,22.57748826462027,1.1232094957940473,22.160564102564102,57.62402130398982,0.21350427350427348,0.8814177476845241
-1,round_robin,148.85933022896722,872.2081391071981,4.250073750686421,14.645128205128206,75.72741291715313,0.3941025641025641,1.0
-1,max_age,5.235133916602245,9.037474189295184,0.6651739143469179,10.19391452991453,38.83077289330171,0.29841880341880345,0.7989862125653792
-1,max_error,0.5212716958005192,1.4920359372742893,0.33296621877992444,12.653829059829057,9.07781983304318,0.3282051282051282,0.8784150583991207
-1,control_value,0.5431959786856951,1.5874336899180717,0.3467430906664537,13.180512820512822,11.040211256270377,0.37743589743589745,0.9069144456411112
2,round_robin,15.503521517678227,44.78163265900023,0.8827970891596829,7.503760683760684,45.69181120773642,0.5798290598290597,1.0
2,max_age,0.21076464796519084,0.6669279081656612,0.271440828105353,5.599401709401709,5.284028685176206,0.49051282051282047,0.85330897424447
2,max_error,0.0790681122636153,0.24956717007289037,0.1689207209791156,7.544940170940172,2.375602466256037,0.5204273504273504,0.9271473100064773
2,control_value,0.0756314126200443,0.2407833000538487,0.17312507501891844,8.055717948717948,2.382685444293286,0.5818803418803419,0.9409859851897839
5,round_robin,0.7957061725324043,0.6304233928740881,0.25312555328604436,4.115982905982906,17.125585096952737,0.7632051282051281,1.0
5,max_age,0.07599197682396858,0.206023106824686,0.17748810933166706,3.3700427350427353,2.2887852793735055,0.7071794871794873,0.9270063771775594
5,max_error,0.036866555444527854,0.09381175119323798,0.1110799409436168,4.961,1.4602412420844233,0.7386752136752137,0.975936377262073
5,control_value,0.0368499802934965,0.09443699932549089,0.11619454601812647,5.371948717948718,1.420166626235459,0.7723504273504275,0.9505756016608262
8,round_robin,0.07579710264225845,0.17543901562023387,0.15974179790832235,2.6994871794871798,3.8118982955970213,0.8997008547008547,1.0
8,max_age,0.04928240035607021,0.12120494165036168,0.14154945302869681,2.425205128205128,1.4616416340031,0.882991452991453,0.981931897040606
8,max_error,0.02812425471416953,0.06651309805007341,0.0889117363000306,3.8517008547008547,1.313380840331039,0.891025641025641,0.9918337354023637
8,control_value,0.027572899137775532,0.06372583751438846,0.09229865323196368,4.216965811965812,1.313894002239744,0.9081623931623931,0.9481830678496969
