coefficients_per_row,retained_channel_energy,ber,mean_cg_iterations,mean_relative_residual
2,0.9222247963751082,0.005505952380952381,12.0,2.3914823882501036e-19
3,0.9669452932695181,0.0008432539682539683,24.0,5.654994312688416e-08
5,0.9906144199705448,4.96031746031746e-05,26.957142857142856,6.433280095237554e-08
8,1.0,0.0,29.464285714285715,7.024850307031839e-08
72,1.0,0.0,29.5,6.941638348875435e-08
direct_full,1.0,0.0,n/a,n/a
