mean_snr_db,policy,mean_system_cost,p95_system_cost,mean_formation_error,mean_information_age
-4,max_age,4017.5797395423047,6403.276832987381,155.6456712147273,18.22222222222222
-4,local_error,2702.578676465469,6019.699652859621,139.47000189804547,21.555555555555557
-4,system_value,2610.6558842366267,6007.513872323475,134.3564804217804,20.194444444444443
-2,max_age,67.85313054407167,608.4860245695314,3.845976888067812,14.888888888888888
-2,local_error,0.30672508345784344,1.0524254889263192,0.04320724877616631,16.277777777777775
-2,system_value,0.43634300647365176,1.4700567324667355,0.05400490329414412,12.055555555555555
0,max_age,0.19863700470941592,0.521823330946012,0.03844935832069412,8.527777777777777
0,local_error,0.121333765267035,0.28696333925753725,0.028328004777151722,12.638888888888888
0,system_value,0.1501031410439764,0.36668609964517335,0.03171785597020033,7.5
2,max_age,0.13699546491070366,0.3143353163914676,0.032098956071620416,6.166666666666665
2,local_error,0.09587364960034787,0.2206946421913024,0.024629735196183635,9.694444444444445
2,system_value,0.10968565701733414,0.24677148977764182,0.02645550957784813,6.4444444444444455
4,max_age,0.1155734721780657,0.2562140344079696,0.028892467162539875,4.861111111111111
4,local_error,0.08390033307076711,0.19231800407326996,0.02222372588055431,8.916666666666668
4,system_value,0.09417588090960888,0.212265284341192,0.023728423917465987,5.027777777777778
