clip_weight,mean_absolute_error,rmse,signed_bias,empirical_error_std,mean_reported_standard_error,ci95_coverage
2,0.008336837587664984,0.010726399090018181,0.0044691493479824,0.00996074075526015,0.003797145606308791,0.5416666666666666
4,0.008342975017633885,0.01080314389539492,0.004357639341339134,0.010097898053964818,0.003971599528840503,0.5833333333333334
8,0.008398257960715036,0.010972979106994627,0.00412591403199497,0.010386434491357637,0.004593681389026276,0.7916666666666666
12,0.008470079648120682,0.011133837300893797,0.0038463199234488603,0.010673078171659403,0.0054581589058952966,0.8333333333333334
20,0.008678754396493852,0.011314795622182839,0.0031666364606462824,0.011096274980035585,0.007476647738232668,0.875
50,0.010279405345607085,0.01270565876547162,0.0010304003353084526,0.012936179389479807,0.01228775391144895,0.9583333333333334
120,0.010481664375483838,0.013056522125979783,0.0011122650765951897,0.013288856518697344,0.012479067148014273,0.9583333333333334
