stage,ber,evm_rms,frame_start_true,frame_start_estimated,cfo_true,cfo_estimated
Frame timing only,0.4241386217948718,1.4090207966756232,43,43,0.12,0.11666900956793443
+ coarse CFO,0.39122596153846156,1.3628514487775143,43,43,0.12,0.11666900956793443
+ IQ compensation,0.3921073717948718,1.3440402561922178,43,43,0.12,0.11666900956793443
+ pilot CPE tracking,0.00969551282051282,0.19423204090131804,43,43,0.12,0.11666900956793443
