max_ap_csi_error,naive_median_mse,lcb_median_mse,naive_p90_mse,lcb_p90_mse,lcb_win_fraction
0.1,0.0003289475877605244,0.0003310507938193863,0.00045876581643971567,0.000468538012594851,0.44285714285714284
0.2,0.0003481271781221505,0.00036374960070987997,0.0005349020049583188,0.000569966916160535,0.44285714285714284
0.3,0.00037732331460328466,0.0003830114242318976,0.0006940455165185734,0.0008135685010367741,0.4928571428571429
0.4,0.0004261490193363958,0.0004113928430453984,0.0009766075910737557,0.000967934767580007,0.42857142857142855
0.5,0.00050109847362256,0.0004333445495902544,0.0013466456880546435,0.0010038977034204268,0.4928571428571429
0.7,0.0006791147033331521,0.0005673757725783899,0.0022411619825832892,0.0019394437897492687,0.5285714285714286
