policy,excess_loss,total_carbon_proxy,participation_jain,minimum_participation_rate,participation_shortfall_fraction,final_max_virtual_debt
random,0.005860882105841181,533.5585310043837,0.9876490567718876,0.19615384615384615,0.2172619047619048,11.824285714285777
carbon,0.595535587983524,207.03242238844987,0.26753486324099945,0.0,0.7232142857142857,59.79999999999969
age_balanced,0.01576757537786133,448.9499331717003,0.5091392026214793,0.03846153846153846,0.6428571428571429,49.79999999999978
virtual_debt,0.0017598392266344426,522.9163529743067,0.9885794635792413,0.22692307692307695,0.16071428571428575,0.9707142857142846
