target_miss_rate,policy,post_drift_task_weighted_miss_rate,post_drift_critical_miss_rate,critical_target_excess,resilience_credits_per_task,mean_transmissions_per_task,replica_execution_rate,cvar95_latency_ms
0.05,static_guard,0.2005614007528546,0.20470406215024028,0.18070406215024032,0.6125553846153241,1.6812307692307693,0.11084615384615384,97.28014649893846
0.05,adaptive_local,0.24164746073325166,0.3003160181710448,0.2763160181710448,0.9215276923077281,1.9236923076923076,0.23315384615384616,97.09417671489514
0.075,static_guard,0.21593417733318282,0.19667193363618407,0.16067193363618407,0.4584907692307413,1.5126153846153847,0.08115384615384616,98.25994167709436
0.075,adaptive_local,0.2337237885541253,0.292201593258279,0.256201593258279,0.7300661538461217,1.7125384615384616,0.1973076923076923,97.659038061281
0.1,static_guard,0.23583199591240384,0.19667193363618407,0.14867193363618408,0.33513538461538495,1.369846153846154,0.062461538461538464,99.1449280753229
0.1,adaptive_local,0.2134674669801493,0.23515372967278952,0.1871537296727895,0.6412861538460936,1.627,0.17246153846153844,97.91332487953494
0.13,static_guard,0.2425744029693423,0.19667193363618407,0.13427193363618406,0.2881200000000043,1.321,0.05169230769230769,99.41844342251781
0.13,adaptive_local,0.20070130557765326,0.22097406017512675,0.15857406017512674,0.593656923076866,1.584,0.15730769230769232,97.66478113777448
0.16,static_guard,0.24403834702923555,0.19667193363618407,0.11987193363618409,0.27762769230769674,1.3125384615384617,0.04769230769230769,99.43459643312072
0.16,adaptive_local,0.20525210047691395,0.2087201264072684,0.1319201264072684,0.5326430769230339,1.5167692307692309,0.14584615384615385,97.93212805866324
