requested_audit_rate,post_drift_weighted_miss_rate,routine_miss_rate,critical_miss_rate,audit_fraction,critical_audit_fraction,resilience_credits_per_task,masked_fraction_of_base_failures
0,0.26315784326545955,0.21004009158290962,0.19006607661341512,0.0,0.0,0.6078942857142297,0.2634882671832193
0.02,0.2599103493942097,0.2107454493500065,0.18830602092129808,0.014,0.0,0.6078133333332776,0.26584019763282124
0.05,0.2640144144978282,0.21180166636983525,0.19299516589384033,0.03380952380952381,0.0,0.6075723809523259,0.2609723496007404
0.1,0.25716744226637717,0.2137683740968197,0.1829497345000359,0.06714285714285714,0.0,0.6069228571428029,0.26240487430272674
0.2,0.2544084913863196,0.217709959040242,0.1776361520201203,0.1341904761904762,0.0,0.6043561904761373,0.25754909352425437
0.35,0.24990156379524456,0.2245995497863266,0.1682225856307076,0.23557142857142854,0.0,0.5909914285713732,0.24890683890240664
