hidden_confounding,propensity_mode,mean_absolute_error,propensity_mae,propensity_induced_gap,required_sensitivity_gamma
0,recorded_true,0.0021826071299538654,0.0,0.0,1.0
0,recorded_nominal,0.0021826071299538654,0.0,0.0,1.0
0,estimated_crossfit,0.0020724650416699595,0.04778084474655447,-0.00027806992778644607,6.865075526068777
0,misspecified,0.005291726166598146,0.13276830438754622,-0.004525656491343198,3.643546346717429
0.5,recorded_true,0.0026206615367706035,0.0,0.0,1.0
0.5,recorded_nominal,0.004234631707873963,0.05205513543446492,-0.0030073614115669334,3.9080977425834895
0.5,estimated_crossfit,0.004751997930490752,0.0702341618346088,-0.0035247276341837225,6.231223135938334
0.5,misspecified,0.008615799679397683,0.13467517851813957,-0.007388529383090652,10.477104249259792
1.0,recorded_true,0.0037244624221280964,0.0,0.0,1.0
1.0,recorded_nominal,0.0062617415495680425,0.10070540912118459,-0.005947494056067847,13.295365465406228
1.0,estimated_crossfit,0.007572454137497203,0.11230865063449708,-0.007258206643997007,15.192130201724758
1.0,misspecified,0.010742314026308803,0.15364888240465033,-0.010428066532808608,18.636547560420794
1.5,recorded_true,0.004673650140762184,0.0,0.0,1.0
1.5,recorded_nominal,0.006952260189279501,0.1434864707505047,-0.007068787432830373,48.159002882664325
1.5,estimated_crossfit,0.009245705606915839,0.15323394557680997,-0.00936223285046671,33.21827919243688
1.5,misspecified,0.012122731986313244,0.18234558919185243,-0.012239259229864116,32.62590091249343
2.0,recorded_true,0.0047142866200378985,0.0,0.0,1.0
2.0,recorded_nominal,0.007172414290827989,0.17936448540759153,-0.006891819081714619,144.21922154709193
2.0,estimated_crossfit,0.01047297242077432,0.18883925816575783,-0.01019237721166095,69.4051436901409
2.0,misspecified,0.012744457617510153,0.210687544023309,-0.012463862408396783,52.40325854253277
