load,policy,mean_latency_ms,p95_latency_ms,failure_rate,deadline_miss_rate,energy_proxy_per_task
0.6,latency_only,23.2278739845583,107.95690865644393,0.10976666666666667,0.09463333333333335,0.825630773007732
0.6,trust_aware,23.219307034411315,107.95148141274935,0.10959999999999999,0.09446666666666666,0.8253269632132398
0.6,risk_aware,26.39289894877102,83.09419603198556,0.06856666666666668,0.05896666666666667,0.6659478322429068
0.9,latency_only,25.757597843544644,110.78297609096124,0.11109999999999999,0.1082,1.2374834804066592
0.9,trust_aware,25.650471833564996,110.63942961368896,0.1099,0.10696666666666667,1.2326651685190142
0.9,risk_aware,27.590070202430013,111.13110591086873,0.08316666666666665,0.08073333333333334,1.084981341388291
1.2,latency_only,29.37817260782418,115.5034702830809,0.11370000000000001,0.11343333333333333,1.6383352415402683
1.2,trust_aware,28.605655094548734,114.20147360950769,0.10903333333333332,0.10873333333333333,1.6205585582619992
1.2,risk_aware,29.690509029782977,113.46370544852375,0.08736666666666666,0.08696666666666665,1.4765236880537387
1.5,latency_only,33.399863500158425,121.03021555337206,0.11376666666666667,0.11366666666666668,2.0126759455799097
1.5,trust_aware,31.631354630663676,117.67023419294908,0.10563333333333334,0.10553333333333333,1.9859399154770545
1.5,risk_aware,32.196614300137576,116.50323053300453,0.08973333333333333,0.08963333333333334,1.8515777480454823
1.8,latency_only,37.12740554545468,125.53451364000578,0.1129,0.1129,2.367719603653325
1.8,trust_aware,34.69221564970277,120.89402479987605,0.10266666666666664,0.10263333333333331,2.336633313778282
1.8,risk_aware,34.86915439340786,119.22942769896088,0.0901,0.09003333333333334,2.208542212826642
