snr_db,perfect_csi_ber,interp_ls_ber,time_domain_ls_ber,interp_ls_nmse,time_domain_ls_nmse
0,0.28706944444444443,0.34631944444444446,0.3522986111111111,0.5669193504465511,0.7917608517043832
5,0.17500694444444445,0.23225694444444445,0.23627083333333335,0.21090409515685038,0.2422602229011057
10,0.07715972222222223,0.12858333333333333,0.12034027777777778,0.10572048589872239,0.07767386437966159
15,0.023958333333333335,0.06533333333333333,0.04140972222222222,0.07187308375735312,0.024917036286922004
20,0.0038472222222222224,0.036,0.008527777777777778,0.06112957618586989,0.00779325538286472
25,9.722222222222222e-05,0.025097222222222222,0.0004652777777777778,0.057643753200870736,0.002476075151915843
30,0.0,0.021423611111111112,6.944444444444445e-06,0.05645253614158567,0.0007788014665572228
