cp_len,ber,time_efficiency
0.000000000000000000e+00,3.505208333333333093e-02,1.000000000000000000e+00
2.000000000000000000e+00,2.459960937500000125e-02,9.696969696969697239e-01
4.000000000000000000e+00,1.491861979166666727e-02,9.411764705882352811e-01
8.000000000000000000e+00,6.412760416666666435e-03,8.888888888888888395e-01
1.200000000000000000e+01,4.609374999999999757e-03,8.421052631578946901e-01
1.600000000000000000e+01,4.407552083333333634e-03,8.000000000000000444e-01
2.400000000000000000e+01,4.488932291666666678e-03,7.272727272727272929e-01
