pilot_snr_db,coarse_delay_error,coarse_doppler_error,refined_delay_mae,refined_doppler_mae,relative_residual
10,0.35,0.42,0.03999999999999959,0.0,0.3083092235981535
15,0.35,0.42,0.03999999999999959,0.0,0.18969231050132646
20,0.35,0.42,0.03999999999999959,0.0,0.12663809655697345
25,0.35,0.42,0.03999999999999959,0.0,0.0955274317363918
30,0.35,0.42,0.03999999999999959,0.0,0.08310109934180224
