snr_db,zf_ber,mmse_ber,ml_ber
0,0.20879166666666665,0.15695833333333334,0.14897916666666666
3,0.14820833333333333,0.10539583333333333,0.08485416666666666
6,0.09295833333333334,0.0649375,0.041104166666666664
9,0.05379166666666667,0.035833333333333335,0.015458333333333333
12,0.030020833333333333,0.020166666666666666,0.004291666666666667
15,0.014333333333333333,0.009541666666666667,0.0008541666666666667
18,0.0071875,0.004833333333333334,0.0002916666666666667
