scheme,slot,prior_std_deg,sensing_fraction,elements,posterior_std_deg,raw_rate,net_rate,score
No sensing,0,0.5063595560468865,0.0,64,0.5063595560468865,3.1357538007379713,3.1357538007379713,
No sensing,1,0.5126402247190519,0.0,64,0.5126402247190519,3.1269775196349276,3.1269775196349276,
No sensing,2,0.518844870842914,0.0,64,0.518844870842914,3.1182264699554922,3.1182264699554922,
No sensing,3,0.5249761899362676,0.0,64,0.5249761899362676,3.1095020362396646,3.1095020362396646,
No sensing,4,0.5310367218940703,0.0,64,0.5310367218940703,3.100805552805097,3.100805552805097,
No sensing,5,0.5370288632839022,0.0,64,0.5370288632839022,3.0921383027875042,3.0921383027875042,
No sensing,6,0.5429548784199292,0.0,64,0.5429548784199292,3.083501517459859,3.083501517459859,
No sensing,7,0.5488169093604898,0.0,64,0.5488169093604898,3.0748963758080765,3.0748963758080765,
No sensing,8,0.554616984954482,0.0,64,0.554616984954482,3.066324004341873,3.066324004341873,
No sensing,9,0.560357029044876,0.0,64,0.560357029044876,3.057785477120189,3.057785477120189,
No sensing,10,0.5660388679233963,0.0,64,0.5660388679233963,3.0492818159712174,3.0492818159712174,
No sensing,11,0.5716642371182582,0.0,64,0.5716642371182582,3.040813990887739,3.040813990887739,
No sensing,12,0.5772347875864726,0.0,64,0.5772347875864726,3.032382920579224,3.032382920579224,
No sensing,13,0.5827520913733387,0.0,64,0.5827520913733387,3.0239894731629846,3.0239894731629846,
No sensing,14,0.5882176467941098,0.0,64,0.5882176467941098,3.0156344669775614,3.0156344669775614,
No sensing,15,0.5936328831862333,0.0,64,0.5936328831862333,3.007318671502501,3.007318671502501,
No sensing,16,0.5989991652748776,0.0,64,0.5989991652748776,2.9990428083697176,2.9990428083697176,
No sensing,17,0.6043177971895253,0.0,64,0.6043177971895253,2.9908075524526265,2.9908075524526265,
No sensing,18,0.609590026165127,0.0,64,0.609590026165127,2.9826135330203365,2.9826135330203365,
No sensing,19,0.6148170459575761,0.0,64,0.6148170459575761,2.9744613349451594,2.9744613349451594,
No sensing,20,0.6200000000000002,0.0,64,0.6200000000000002,2.9663514999527743,2.9663514999527743,
No sensing,21,0.6251399843235116,0.0,64,0.6251399843235116,2.95828452790528,2.95828452790528,
No sensing,22,0.6302380502635495,0.0,64,0.6302380502635495,2.9502608781083706,2.9502608781083706,
No sensing,23,0.6352952069707439,0.0,64,0.6352952069707439,2.942280970634688,2.942280970634688,
No sensing,24,0.6403124237432851,0.0,64,0.6403124237432851,2.934345187656286,2.934345187656286,
No sensing,25,0.6452906321960674,0.0,64,0.6452906321960674,2.926453874779888,2.926453874779888,
No sensing,26,0.6502307282803547,0.0,64,0.6502307282803547,2.918607342379334,2.918607342379334,
No sensing,27,0.6551335741663683,0.0,64,0.6551335741663683,2.9108058669203056,2.9108058669203056,
No sensing,28,0.6600000000000004,0.0,64,0.6600000000000004,2.903049692273014,2.903049692273014,
No sensing,29,0.6648308055437868,0.0,64,0.6648308055437868,2.8953390310090854,2.8953390310090854,
No sensing,30,0.6696267617113286,0.0,64,0.6696267617113286,2.8876740656794357,2.8876740656794357,
No sensing,31,0.674388612003495,0.0,64,0.674388612003495,2.880054950070321,2.880054950070321,
No sensing,32,0.6791170738539861,0.0,64,0.6791170738539861,2.8724818104352554,2.8724818104352554,
No sensing,33,0.6838128398911507,0.0,64,0.6838128398911507,2.864954746700802,2.864954746700802,
No sensing,34,0.6884765791223406,0.0,64,0.6884765791223406,2.857473833644624,2.857473833644624,
No sensing,35,0.6931089380465386,0.0,64,0.6931089380465386,2.8500391220444747,2.8500391220444747,
No sensing,36,0.6977105417004966,0.0,64,0.6977105417004966,2.842650639797091,2.842650639797091,
No sensing,37,0.7022819946431779,0.0,64,0.7022819946431779,2.8353083930061906,2.8353083930061906,
No sensing,38,0.706823881882892,0.0,64,0.706823881882892,2.8280123670389914,2.8280123670389914,
No sensing,39,0.7113367697511499,0.0,64,0.7113367697511499,2.820762527550881,2.820762527550881,
No sensing,40,0.7158212067269315,0.0,64,0.7158212067269315,2.813558821478011,2.813558821478011,
No sensing,41,0.7202777242147645,0.0,64,0.7202777242147645,2.806401177997743,2.806401177997743,
No sensing,42,0.7247068372797377,0.0,64,0.7247068372797377,2.7992895094570343,2.7992895094570343,
No sensing,43,0.7291090453423275,0.0,64,0.7291090453423275,2.792223712268918,2.792223712268918,
No sensing,44,0.73348483283569,0.0,64,0.73348483283569,2.785203667777364,2.785203667777364,
No sensing,45,0.7378346698278687,0.0,64,0.7378346698278687,2.7782292430908835,2.7782292430908835,
No sensing,46,0.7421590126111789,0.0,64,0.7421590126111789,2.7713002918852983,2.7713002918852983,
No sensing,47,0.7464583042608609,0.0,64,0.7464583042608609,2.7644166551761944,2.7644166551761944,
No sensing,48,0.7507329751649384,0.0,64,0.7507329751649384,2.7575781620615802,2.7575781620615802,
No sensing,49,0.754983443527075,0.0,64,0.754983443527075,2.750784630435355,2.750784630435355,
No sensing,50,0.7592101158440923,0.0,64,0.7592101158440923,2.744035867672215,2.744035867672215,
