budget,used_sensing_fraction,mean_posterior_std_deg,mean_payload_rate,phase_1_sensing,phase_2_sensing,phase_3_sensing,phase_4_sensing,phase_5_sensing
0.02,0.0174,1.0930741310860101,1.7088287388371135,0.0025,0.03750000000000001,0.019999999999999997,0.019999999999999997,0.007000000000000001
0.05,0.03960000000000001,0.9084501681780308,1.7778032571492945,0.0025,0.09725000000000003,0.049999999999999996,0.04,0.008249999999999999
0.08,0.05915000000000001,0.8295636096440756,1.8073370866426695,0.0025,0.14225,0.09499999999999997,0.0465,0.0095
0.12,0.07525,0.7618142128917456,1.8496256499375319,0.0025,0.16899999999999998,0.12750000000000003,0.06862500000000002,0.008624999999999999
