regime,mean_snr_db,edge_risk_scale,policy,task_weighted_deadline_miss_rate,mean_latency_ms,duplicate_action_rate,replicate_action_rate,migrate_action_rate,resilience_credits_per_task
radio_limited,-4.0,0.45,radio_first,0.7415267356331137,97.2522763521861,1.0,0.0,0.0,0.7200000000000231
radio_limited,-4.0,0.45,edge_first,0.7404335205187389,97.03765646835427,0.9914583333333333,0.005416666666666667,0.0,0.719808333333356
radio_limited,-4.0,0.45,risk_budget,0.7415267356331137,97.2522763521861,1.0,0.0,0.0,0.7200000000000231
radio_limited,-4.0,0.45,uncertainty_gated,0.7415267356331137,97.2522763521861,1.0,0.0,0.0,0.7200000000000231
mixed,5.0,1.0,radio_first,0.1483949556584419,41.14461492143116,0.964375,0.017916666666666664,0.0014583333333333334,0.7166833333333549
mixed,5.0,1.0,edge_first,0.24092579192472863,50.822898421885974,0.12520833333333334,0.08125,0.014375,0.2054000000000022
mixed,5.0,1.0,risk_budget,0.14847161947474605,40.701859970429716,0.96625,0.022083333333333333,0.0,0.7199916666666883
mixed,5.0,1.0,uncertainty_gated,0.1477426647477263,41.21105379991235,0.9695833333333332,0.019791666666666666,0.0,0.7198708333333552
edge_limited,14.0,2.2,radio_first,0.0427036796349073,31.44789465863564,0.050625,0.216875,0.03729166666666667,0.34213750000000354
edge_limited,14.0,2.2,edge_first,0.04974552774563173,32.4245508260839,0.0,0.24104166666666665,0.05708333333333333,0.36789583333333586
edge_limited,14.0,2.2,risk_budget,0.038002648884198395,29.828602488475397,0.0375,0.6258333333333334,0.0025,0.7199166666666499
edge_limited,14.0,2.2,uncertainty_gated,0.04239581994733744,29.659781929387883,0.04145833333333333,0.6258333333333334,0.0008333333333333334,0.7197666666666502
