scheme,mean_sum_rate,p10_sum_rate
1-bit coord.,4.516830805919101,3.672645983116154
2-bit coord.,5.096660525737049,4.1937298069318745
3-bit coord.,5.31889101788622,4.489613382889696
Random,1.8424702262709336,0.7760898973447533
