prior_std_deg,optimal_sensing_fraction,optimal_elements,posterior_std_deg,net_rate
0.5,0.0,64,0.5,3.2946760782103506
1,0.02,64,0.9610744623271419,2.5126276025215137
2,0.1,32,1.2279202588090847,2.0700605290075895
4,0.15,32,1.210601667217252,1.9647172788723433
6,0.15,32,1.2426315970828885,1.9468252053436585
10,0.15,32,1.2600468829471283,1.9370534985367778
