policy,cache_hit_rate,mean_latency_ms,mean_task_utility,mean_served_version_age,backhaul_mb,model_refresh_mb
popularity,0.79921875,38.128274496783675,0.5423989458654291,10.31940625,4229.048631119572,3265.298631119571
latency_value,0.783375,38.49318317841073,0.5515652668953921,10.154093749999998,4312.854500997303,3273.0545009973025
version_value,0.63778125,56.17439841871986,0.8585364374289611,6.24909375,5209.389077475706,3470.7390774757055
lru,0.7114062500000001,47.50208050760317,1.0190799977818739,0.41012499999999996,163442.7041854037,162057.4541854037
