budget_per_task,policy,deadline_miss_rate,task_weighted_deadline_miss_rate,mean_latency_ms,p95_latency_ms,mean_transmissions_per_task,replica_execution_rate,proactive_migration_rate,migration_traffic_mb_per_task,resilience_credits_per_task
0.0,reactive,0.22454545454545455,0.22174918550846262,48.76519333955842,127.94578978203586,1.0,0.0,0.0,2.961818181818182,0.0
0.0,radio_first,0.22454545454545455,0.22174918550846262,48.76519333955842,127.94578978203586,1.0,0.0,0.0,2.961818181818182,0.0
0.0,edge_first,0.22454545454545455,0.22174918550846262,48.76519333955842,127.94578978203586,1.0,0.0,0.0,2.961818181818182,0.0
0.0,risk_budget,0.22454545454545455,0.22174918550846262,48.76519333955842,127.94578978203586,1.0,0.0,0.0,2.961818181818182,0.0
0.0,uncertainty_gated,0.22454545454545455,0.22174918550846262,48.76519333955842,127.94578978203586,1.0,0.0,0.0,2.961818181818182,0.0
0.2,reactive,0.22454545454545455,0.22174918550846262,48.76519333955842,127.94578978203586,1.0,0.0,0.0,2.961818181818182,0.0
0.2,radio_first,0.19863636363636364,0.2006068597218252,46.13514782451199,128.0519706582802,1.2775,0.0,0.0,2.9454545454545453,0.199800000000003
0.2,edge_first,0.20795454545454545,0.20783041024431304,47.16882854490872,128.03693818111526,1.0527272727272727,0.05590909090909091,0.005454545454545455,3.0599999999999996,0.10928181818181792
0.2,risk_budget,0.19704545454545455,0.19948031569383387,46.01368015404698,127.64075379075219,1.2772727272727273,0.00022727272727272727,0.0,2.9945454545454546,0.19988636363636664
0.2,uncertainty_gated,0.19931818181818184,0.20116350500624444,46.2025474640923,128.0519706582802,1.2777272727272728,0.0,0.0,2.9454545454545453,0.19996363636363937
0.4,reactive,0.22454545454545455,0.22174918550846262,48.76519333955842,127.94578978203586,1.0,0.0,0.0,2.961818181818182,0.0
0.4,radio_first,0.16022727272727272,0.15940275157162453,42.300663077592986,125.08427142909366,1.5543181818181817,0.0006818181818181819,0.0,2.7818181818181817,0.39985909090910143
0.4,edge_first,0.20386363636363636,0.200479643646144,46.648231777410004,127.04723795057079,1.0575,0.07681818181818181,0.014772727272727272,3.632727272727273,0.15249090909090968
0.4,risk_budget,0.15954545454545455,0.15562423902255862,42.21166584700784,124.59419763327374,1.5468181818181819,0.005454545454545455,0.0,2.9127272727272726,0.39970909090910134
0.4,uncertainty_gated,0.1665909090909091,0.1640122799946339,42.99828157895871,125.87112888074195,1.5484090909090908,0.004545454545454545,0.0,3.109090909090909,0.3998545454545559
0.6,reactive,0.22454545454545455,0.22174918550846262,48.76519333955842,127.94578978203586,1.0,0.0,0.0,2.961818181818182,0.0
0.6,radio_first,0.12113636363636364,0.12577706593468452,38.451938159175924,121.66255181788368,1.8236363636363637,0.005681818181818182,0.00022727272727272727,2.650909090909091,0.5996772727272904
0.6,edge_first,0.21636363636363637,0.2131413927266665,48.01610061197621,129.10297543089843,1.0595454545454546,0.08363636363636365,0.019318181818181818,4.058181818181819,0.16964545454545546
0.6,risk_budget,0.12795454545454546,0.1228060323770356,39.226350408806766,122.22013831942216,1.7661363636363636,0.04386363636363637,0.0,2.7818181818181817,0.5998681818181981
0.6,uncertainty_gated,0.1265909090909091,0.12545324911497857,39.197617183812326,122.83067025610256,1.7838636363636362,0.03227272727272727,0.0,2.978181818181818,0.5998818181818347
0.8,reactive,0.22454545454545455,0.22174918550846262,48.76519333955842,127.94578978203586,1.0,0.0,0.0,2.961818181818182,0.0
0.8,radio_first,0.10727272727272727,0.09889700381913424,37.30191332993225,121.17869723699773,1.9154545454545455,0.05022727272727273,0.006818181818181819,3.829090909090909,0.7266500000000188
0.8,edge_first,0.2165909090909091,0.21239919901410753,48.03268166899424,129.0699336490976,1.0595454545454546,0.08409090909090909,0.019545454545454546,4.090909090909091,0.1705545454545464
0.8,risk_budget,0.10136363636363636,0.09995781370499221,36.68958652214005,120.44382061648382,1.8952272727272728,0.13477272727272727,0.003863636363636364,3.207272727272727,0.7997681818181985
