active_aps,scheme,mean_user_rate,mean_5pct_rate,energy_efficiency
4,Strongest aggregate,0.6025912821567658,0.18628938904910236,2.317658777526022
4,Coverage-aware,0.4517124481159879,0.23780883916172865,1.7373555696768765
8,Strongest aggregate,1.3549576649990531,0.5636892298026684,4.234242703122041
8,Coverage-aware,0.9142667963526048,0.5338043553919201,2.8570837386018897
12,Strongest aggregate,1.8299083391085869,0.8546619720333186,4.81554826081207
12,Coverage-aware,1.430406951166116,0.8632973468587094,3.7642288188581996
16,Strongest aggregate,2.079278438791043,1.1201820481480904,4.72563281543419
16,Coverage-aware,1.7909674464227225,1.09922921116686,4.070380560051642
24,Strongest aggregate,2.344028186892508,1.3572162161898957,4.185764619450906
24,Coverage-aware,2.132104566220515,1.2734602231977121,3.807329582536634
32,Strongest aggregate,2.559218000029307,1.5046481915155934,3.7635558823960418
32,Coverage-aware,2.503624753781323,1.4965143371910303,3.6818011085019458
