n_aps,single_ap_median_mse,cellfree_median_mse,single_ap_weakest_gain,cellfree_weakest_gain
1,0.0040143085392489505,0.0035004775874504374,0.25098552656822604,0.2509855265682261
2,0.002129229007379827,0.0007939800098840946,0.3412475717539403,0.5260493065107643
4,0.0013997751583354591,0.0005383194465634028,0.4045549964965108,0.6446685595244327
8,0.00104778535701873,0.0004649960404507846,0.4533970998962205,0.6716854496354787
16,0.0007839233380371995,0.0004657037416363116,0.5180355078874186,0.6889138208494152
