snr_db,target,detection_probability,mean_false_alarms_per_map
-20,1,1.0,2.8
-20,2,0.0,2.8
-16,1,1.0,2.8857142857142857
-16,2,0.05714285714285714,2.8857142857142857
-12,1,1.0,3.085714285714286
-12,2,0.05714285714285714,3.085714285714286
-8,1,1.0,3.1714285714285713
-8,2,0.14285714285714285,3.1714285714285713
-4,1,1.0,3.257142857142857
-4,2,0.8571428571428571,3.257142857142857
0,1,1.0,3.342857142857143
0,2,1.0,3.342857142857143
