forecast_noise,policy,task_weighted_deadline_miss_rate,mean_latency_ms,proactive_migration_rate,migration_traffic_mb_per_task,duplicate_action_rate,replicate_action_rate,resilience_credits_per_task
0,risk_budget,0.06580785519950517,32.57711097432966,0.004722222222222222,4.04,0.6823611111111111,0.31819444444444445,0.8498138888888928
0,uncertainty_gated,0.06580785519950517,32.57711097432966,0.004722222222222222,4.04,0.6823611111111111,0.31819444444444445,0.8498138888888928
0.25,risk_budget,0.05793089328539445,32.35581863262379,0.0059722222222222225,4.14,0.6725,0.3226388888888889,0.8498527777777815
0.25,uncertainty_gated,0.05839904390269188,32.227689439562624,0.001388888888888889,3.58,0.6990277777777778,0.31277777777777777,0.8498555555555601
0.5,risk_budget,0.068354877688798,33.23373519418241,0.010416666666666666,4.39,0.6718055555555557,0.31583333333333335,0.8498666666666702
0.5,uncertainty_gated,0.061574314484058645,32.48270219452112,0.0002777777777777778,3.56,0.7115277777777776,0.3063888888888889,0.8498277777777831
0.8,risk_budget,0.06293165003359469,32.61422221223692,0.012500000000000002,4.489999999999999,0.6663888888888888,0.31583333333333335,0.8497166666666702
0.8,uncertainty_gated,0.06174176558847833,32.41234614220025,0.0,3.8400000000000003,0.7393055555555555,0.2886111111111111,0.8497722222222288
1.1,risk_budget,0.0681390691729926,33.47995539107641,0.016805555555555556,5.14,0.658611111111111,0.3140277777777778,0.8498805555555586
1.1,uncertainty_gated,0.06119403144642771,32.49585091664269,0.0,3.7000000000000006,0.7509722222222223,0.2804166666666667,0.8491583333333405
1.5,risk_budget,0.06212504074720023,32.33480964300316,0.020694444444444442,4.95,0.6475,0.3148611111111111,0.8497972222222252
1.5,uncertainty_gated,0.06283702660300194,32.44806588398682,0.0004166666666666667,3.68,0.7683333333333332,0.265,0.8454500000000081
2.0,risk_budget,0.06696930926512368,33.37468841544467,0.022083333333333333,5.41,0.6454166666666666,0.31402777777777774,0.8498805555555582
2.0,uncertainty_gated,0.06588955245657845,32.68876448251586,0.0001388888888888889,4.06,0.7802777777777777,0.25500000000000006,0.8425500000000089
