drift_strength,policy,post_drift_task_weighted_miss_rate,post_drift_critical_miss_rate,resilience_credits_per_task,calibration_gap,cvar95_latency_ms
0.0,point_greedy,0.07990672420782854,0.07507048872180451,0.13734666666667017,-0.0027273067475984403,92.75634562412361
0.0,static_guard,0.07285558977829468,0.07287750626566417,0.24238666666667358,-0.0026906593922085345,92.28657335447738
0.0,adaptive_global,0.07186744684347678,0.07068452380952381,0.2930500000000082,-0.003386977602242422,91.91104999000025
0.0,adaptive_local,0.07440970207070455,0.06849154135338345,0.2685466666666709,-0.002636283626932058,92.39149951339601
0.0,oracle,0.08015617541517239,0.07507048872180451,0.1266000000000031,-0.0029639720039108183,92.76200518573827
0.4,point_greedy,0.15297102962171408,0.15480106516290726,0.18551500000000487,0.026610585223281927,96.5073695451112
0.4,static_guard,0.1416636878287371,0.12386434837092733,0.2735166666666721,0.025540060785703533,96.14224787989221
0.4,adaptive_global,0.1123814253593235,0.1282894736842105,0.6211716666666095,0.019306917524422137,93.83308658990364
0.4,adaptive_local,0.11505671138144193,0.12382518796992481,0.5336833333332973,0.019952908026166165,94.74629311662073
0.4,oracle,0.14106500493111188,0.12163220551378447,0.22699666666667118,-0.0012810796707075217,96.2711071789239
0.8,point_greedy,0.20615116588535326,0.1769266917293233,0.22311500000000456,0.05127214937900563,99.04574449762146
0.8,static_guard,0.20400910613371537,0.1724624060150376,0.2893900000000049,0.05106598985947027,98.8638162352912
0.8,adaptive_global,0.1748588304624309,0.21906328320802004,0.6782199999999363,0.03998061328126488,96.21857466721065
0.8,adaptive_local,0.1656334595131457,0.1924733709273183,0.6355283333332726,0.040952924961781954,96.54474049948807
0.8,oracle,0.2032210609366924,0.1724624060150376,0.24530166666667055,-0.0008282309535865423,98.96665999154192
1.2,point_greedy,0.26871332185764213,0.22771773182957394,0.23003166666667121,0.07387975518538739,100.39978978878771
1.2,static_guard,0.2567064431402627,0.22771773182957394,0.3500083333333358,0.0717328708569917,100.08571398778986
1.2,adaptive_global,0.24120939460774884,0.30725250626566414,0.6927683333332684,0.06021156956922316,98.35069857509897
1.2,adaptive_local,0.21337555945668912,0.24537907268170428,0.6470199999999366,0.05745832158231611,98.26299636450969
1.2,oracle,0.24166270095632664,0.22771773182957394,0.3549549999999957,-0.001970824931329093,99.92675991882237
1.6,point_greedy,0.32469428967849057,0.27208646616541354,0.23151000000000455,0.09279701589066403,101.66192032474682
1.6,static_guard,0.2779392295788472,0.27208646616541354,0.4874649999999722,0.08272457164549424,100.82120144937912
1.6,adaptive_global,0.30109787487367884,0.39583333333333337,0.7011949999999358,0.07798901419727369,99.72843417300705
1.6,adaptive_local,0.2740773131998755,0.32291666666666663,0.6582199999999363,0.0777361631692209,99.71620556125242
1.6,oracle,0.24645699508460717,0.26546835839599,0.44774499999998063,-0.003375439573522404,99.50452495635702
