snr_db,ber_qpsk,ber_16qam,ber_64qam,selected_order,effective_goodput_bits_per_sample
0.000000000000000000e+00,1.345442708333333404e-01,2.660286458333333548e-01,3.446440972222222232e-01,4.000000000000000000e+00,1.038546874999999980e+00
3.000000000000000000e+00,5.967447916666666907e-02,1.894986979166666530e-01,2.857986111111111005e-01,4.000000000000000000e+00,1.128390624999999980e+00
6.000000000000000000e+00,1.354166666666666713e-02,1.229817708333333370e-01,2.191536458333333270e-01,4.000000000000000000e+00,1.183749999999999858e+00
9.000000000000000000e+00,7.421875000000000087e-04,6.083984374999999722e-02,1.553385416666666630e-01,4.000000000000000000e+00,1.199109374999999922e+00
1.200000000000000000e+01,0.000000000000000000e+00,1.824218749999999972e-02,9.915798611111110994e-02,4.000000000000000000e+00,1.199999999999999956e+00
1.500000000000000000e+01,0.000000000000000000e+00,1.920572916666666565e-03,5.055121527777777651e-02,1.600000000000000000e+01,2.395390624999999662e+00
1.800000000000000000e+01,0.000000000000000000e+00,6.510416666666667085e-06,1.597222222222222099e-02,1.600000000000000000e+01,2.399984374999999837e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.822916666666666696e-03,6.400000000000000000e+01,3.593437499999999840e+00
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.472222222222222219e-05,6.400000000000000000e+01,3.599874999999999936e+00
