budget_per_task,policy,task_weighted_deadline_miss_rate,mean_latency_ms,duplicate_action_rate,replicate_action_rate,proactive_migration_rate,migration_traffic_mb_per_task,resilience_credits_per_task
0.8,risk_budget,0.09995781370499221,36.68958652214005,0.8952272727272728,0.13477272727272727,0.003863636363636364,3.207272727272727,0.7997681818181985
0.8,uncertainty_gated,0.10453103011695764,36.86133093731691,0.9152272727272728,0.12795454545454546,0.0,2.8636363636363633,0.7997136363636537
1.0,risk_budget,0.09574383936182516,36.49644038397324,0.884090909090909,0.30568181818181817,0.015,3.6818181818181817,0.9997954545454488
1.0,uncertainty_gated,0.09405815286197132,36.39471348468426,0.9159090909090909,0.3090909090909091,0.00022727272727272727,2.7818181818181817,0.9998636363636311
1.2,risk_budget,0.07471000759791888,35.28710543928882,0.8865909090909091,0.46659090909090906,0.026818181818181817,4.467272727272727,1.1998681818181358
1.2,uncertainty_gated,0.08202193415966563,35.00402667837008,0.9220454545454546,0.4806818181818182,0.0025,2.961818181818182,1.19712272727268
1.4,risk_budget,0.08909277317243286,36.091012442332186,0.9011363636363636,0.6165909090909091,0.04045454545454545,5.481818181818182,1.399886363636285
1.4,uncertainty_gated,0.08309807940792913,35.221936930541915,0.9397727272727272,0.6165909090909092,0.003181818181818182,3.3872727272727277,1.3606136363635597
1.6,risk_budget,0.08716412897416684,35.96625301964784,0.9193181818181818,0.7377272727272728,0.06931818181818182,7.658181818181818,1.598181818181713
1.6,uncertainty_gated,0.0660894355758807,34.160212436989525,0.9470454545454545,0.71,0.005227272727272727,3.2563636363636363,1.4722818181817248
1.8,risk_budget,0.07763560454221666,35.34649592843131,0.9290909090909091,0.8277272727272726,0.11704545454545455,10.930909090909092,1.7901272727271489
1.8,uncertainty_gated,0.07509415027125589,35.00230111990447,0.95,0.7156818181818182,0.007045454545454546,3.190909090909091,1.4839318181817238
2.2,risk_budget,0.08791149249519783,36.10722019320473,0.9272727272727272,0.8156818181818182,0.15545454545454546,13.778181818181817,1.8447045454544209
2.2,uncertainty_gated,0.07509415027125589,35.00405135010669,0.95,0.7161363636363637,0.007045454545454546,3.190909090909091,1.484431818181724
