feedback_delay,policy,post_drift_weighted_miss_rate,detection_delay_tasks,resilience_credits_per_task,duplicate_action_rate,replica_action_rate
1,outcome_only,0.2613779220921744,18.0,0.6114599999999448,0.6220476190476191,0.14871428571428572
1,component_telemetry,0.2642482260208861,0.0,0.6467199999999557,0.6686190476190476,0.1502857142857143
1,hybrid_feedback,0.2631922323072105,0.0,0.6464152380951944,0.660047619047619,0.15561904761904763
8,outcome_only,0.26315784326545955,10.333333333333334,0.6078942857142297,0.617095238095238,0.14871428571428572
8,component_telemetry,0.2657313409417423,0.0,0.6452447619047171,0.667952380952381,0.1493809523809524
8,hybrid_feedback,0.26328504785664786,0.0,0.644593333333289,0.6591904761904761,0.15452380952380954
32,outcome_only,0.26472948376689903,28.0,0.6070942857142291,0.6168571428571429,0.14814285714285713
32,component_telemetry,0.2673186246980423,0.0,0.6456333333332888,0.6676190476190477,0.14995238095238095
32,hybrid_feedback,0.261231400893843,0.0,0.6451714285713844,0.6590476190476191,0.15514285714285714
96,outcome_only,0.2646237174023414,41.333333333333336,0.6058419047618476,0.6125714285714285,0.1498095238095238
96,component_telemetry,0.26348633382802217,2.0,0.6407828571428108,0.6608095238095237,0.15
96,hybrid_feedback,0.2643903070508858,2.0,0.6402971428570969,0.6527142857142857,0.15485714285714286
256,outcome_only,0.263156879779376,69.0,0.5993723809523216,0.6040952380952381,0.14947619047619046
256,component_telemetry,0.2665651966814104,4.666666666666667,0.6306914285713786,0.6502857142857142,0.14771428571428571
256,hybrid_feedback,0.26390872836759105,4.666666666666667,0.630353333333284,0.6429047619047619,0.15223809523809526
512,outcome_only,0.2642333372901975,235.66666666666666,0.5895361904761277,0.5901428571428572,0.14966666666666667
512,component_telemetry,0.2655569129293966,98.66666666666667,0.6204866666666123,0.6286190476190475,0.15261904761904763
512,hybrid_feedback,0.2641365571695317,98.66666666666667,0.620403809523756,0.6230476190476191,0.15619047619047619
