keyframe_interval,scheme,mean_model_mse,mean_version_age,normalized_size_per_round,packet_success_fraction
2,full,0.29501905536031325,5.595284780578898,1.0,0.3832049486461252
2,chained_delta,0.5458380786483884,9.314005602240895,0.5865546218487396,0.6149393090569562
2,anchored_delta,0.5458380786483884,9.314005602240895,0.5865546218487396,0.6149393090569562
4,full,0.29501905536031325,5.595284780578898,1.0,0.3832049486461252
4,chained_delta,0.8883411346902591,14.328127917833799,0.37983193277310917,0.730578898225957
4,anchored_delta,0.8646826224484213,13.86014239028945,0.3893613445378147,0.7263188608776844
8,full,0.29501905536031325,5.595284780578898,1.0,0.3832049486461252
8,chained_delta,1.2289976320147622,19.252287581699346,0.2764705882352939,0.7880602240896358
8,anchored_delta,1.1099620748903372,17.32917833800187,0.3098235294117646,0.7734593837535013
12,full,0.29501905536031325,5.595284780578898,1.0,0.3832049486461252
12,chained_delta,1.4707900443068485,22.61936274509804,0.24201680672268894,0.8086834733893559
12,anchored_delta,1.2220684925403598,18.882166199813256,0.3002521008403359,0.7826797385620916
20,full,0.29501905536031325,5.595284780578898,1.0,0.3832049486461252
20,chained_delta,1.810783678546952,27.442542016806723,0.21445378151260477,0.8231792717086835
20,anchored_delta,1.3122753148639115,20.006104108309994,0.323089075630252,0.7714635854341736
30,full,0.29501905536031325,5.595284780578898,1.0,0.3832049486461252
30,chained_delta,2.009275916921226,30.226003734827266,0.20067226890756285,0.8313492063492064
30,anchored_delta,1.1603070912682938,17.844024276377223,0.37262521008403343,0.7461367880485528
