gain_imbalance_db,phase_imbalance_deg,estimated_irr_db,raw_ber,compensated_ber,raw_evm_pct,compensated_evm_pct
0,0,54.545538518928886,0.0,0.0,2.8664554961255306,2.87580381829191
0.5,2,29.821413570031773,0.0,0.0,4.409106429968521,2.8658763533330385
1,4,23.276082345672062,5.555555555555556e-05,0.0,7.341893926102477,2.9010513186221187
2,7,17.721834577971556,0.02836111111111111,0.0,13.390634441464403,2.9484469107719695
3,10,14.41072574363129,0.08729166666666667,0.0,19.746059643674695,3.0883297940934007
4,15,11.584274473653247,0.1339027777777778,0.0,27.04898426498498,3.2923558885720974
