updates_per_slot,policy,mean_sum_rate,edge_rate,mean_csi_nmse,mean_ap_age,p95_ap_age
1,round_robin,15.056106526242814,0.4355173070470874,0.7282425161354368,9.352222222222222,18.0
1,uncertainty,11.8850460682525,0.09625260060615953,0.4361477549500502,202.25544444444444,424.0499999999993
1,bounded_uncertainty,13.949300301531176,0.2632494225892496,0.5240116462388525,18.397555555555556,38.0
2,round_robin,16.31504291630761,0.6066563553957822,0.4718682237268097,4.463333333333333,9.0
2,uncertainty,14.184863014930896,0.16965743382055445,0.1636122576550325,158.88466666666667,417.0
2,bounded_uncertainty,15.598611832634234,0.49832096379940255,0.28168526981389064,8.421333333333333,18.0
4,round_robin,17.020152103778784,0.7770768505609673,0.24513880708014413,1.991111111111111,4.0
4,uncertainty,15.427875636368823,0.3191918205783706,0.059734312671958056,96.94555555555556,387.0499999999993
4,bounded_uncertainty,16.89926633914392,0.7209196103349368,0.07617403042030778,3.6193333333333335,9.0
8,round_robin,17.445179753445796,0.8335993443296889,0.11503520776906623,0.7977777777777778,2.0
8,uncertainty,17.339665035758035,0.6666758266877084,0.010895498070872657,33.743,284.0
8,bounded_uncertainty,17.461756211045703,0.8344613910675587,0.026065973015599785,1.4705555555555556,5.0
