mobility,policy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,traffic_mb_per_step,cold_migration_rate,speculative_mispredict_rate
0.02,cold_reactive,15.412891670033678,20.99408536186243,0.01635,2.5362375,0.9796740622967406,0.0
0.02,periodic_checkpoint,14.741219514642273,20.90427421317795,0.0011,2.6804625,0.05803777417927884,0.0
0.02,predictive_checkpoint,15.043051800869895,20.95724589347511,0.00745,2.4537187499999997,0.40895664500137013,0.43839999999999996
0.05,cold_reactive,16.584419234543248,27.84596002193122,0.03665,5.7209812499999995,0.9001810594246538,0.0
0.05,periodic_checkpoint,15.129766642500352,22.47786566311762,0.0033,3.41514375,0.07566302688455365,0.0
0.05,predictive_checkpoint,15.665919811231078,23.101816901458797,0.01455,3.94565625,0.3787740821408215,0.398
0.1,cold_reactive,18.066861354211035,55.622478225055616,0.0587,9.62413125,0.7689300136101361,0.0
0.1,periodic_checkpoint,15.804963239274436,24.244179305589896,0.00765,4.7742562500000005,0.10029186460121892,0.0
0.1,predictive_checkpoint,16.62658269402643,26.453832904630232,0.0274,6.26765625,0.33647378220938534,0.35240000000000005
0.18,cold_reactive,19.615105770949906,56.64388897871402,0.07640000000000001,13.27783125,0.5506788704301996,0.0
0.18,periodic_checkpoint,16.794744898805032,26.261876336760857,0.0124,6.63815625,0.09104716212489512,0.0
0.18,predictive_checkpoint,17.68687243806668,30.304535493647265,0.031149999999999997,8.272837500000001,0.22465200165925453,0.2752
0.28,cold_reactive,20.381475200380425,56.3483102797601,0.0709,14.279493749999999,0.32659228550726566,0.0
0.28,periodic_checkpoint,17.77243621987967,27.844218257278413,0.01265,8.20875,0.06028782327467675,0.0
0.28,predictive_checkpoint,18.427050008309966,30.417842081305018,0.02665,9.24695625,0.12408221544563396,0.17880000000000001
