arrival_rate,policy,on_time_accuracy,on_time_task_utility,deadline_miss_rate,radio_uses_per_request,mean_backlog
0.35,fifo,0.7650967459648036,0.7560707330264456,0.11510798114214009,2.191572722960114,1.4733035714285714
0.35,edf,0.7567935283655085,0.7455042350785128,0.11918275787191981,2.2167418921423727,1.6213392857142859
0.35,value,0.6917184782457927,0.6855754595590228,0.1989102122309509,2.0982342421275346,1.4823214285714286
0.35,urgency_value,0.7538864619394765,0.7504400659606558,0.12425395566890657,2.2165977876110206,1.6520535714285716
0.35,completion_aware,0.7761884723192105,0.7706687871632993,0.10014035250057182,2.2280541714761752,1.5110714285714284
0.5,fifo,0.6344352559588455,0.6175294658271733,0.2655077783893153,1.8825732578770182,2.9613392857142857
0.5,edf,0.5792154569362489,0.5587544531992863,0.32756519293976943,1.873536471039355,3.362589285714286
0.5,value,0.560562952751615,0.549684353977443,0.36361750792061964,1.782838170239277,2.735357142857143
0.5,urgency_value,0.6086321864861796,0.6032410984963273,0.30168386100707567,1.873984122767737,3.189553571428571
0.5,completion_aware,0.6483119462671567,0.6441312680782861,0.2523997929733163,1.9006271332290487,2.915267857142857
0.65,fifo,0.4926552760870294,0.4696060091868709,0.4288389961509084,1.5127000576083331,4.624732142857143
0.65,edf,0.4230411253752835,0.39498340563652834,0.5140118703971049,1.5274389288156351,4.979732142857143
0.65,value,0.4153730894717666,0.4038024098097336,0.5280054696525958,1.4856239318526367,4.258214285714286
0.65,urgency_value,0.4372821356831005,0.4238211882746501,0.5032975901366411,1.5183705612320988,4.972678571428571
0.65,completion_aware,0.5077249418398821,0.5000936727502739,0.42788195432769194,1.5026809163580455,4.788392857142856
0.8,fifo,0.3964897785884397,0.37072753317238105,0.5450148847337957,1.2427175422705306,6.266160714285714
0.8,edf,0.3029690515027657,0.2700817932644396,0.659982016612685,1.2409670242275521,6.662321428571429
0.8,value,0.30899335653904325,0.2925162827333182,0.6528895294108424,1.2344932015944314,5.933571428571429
0.8,urgency_value,0.33235297228811744,0.3146830217027264,0.6293709686545056,1.2432615617443816,6.675267857142857
0.8,completion_aware,0.3997759440617723,0.38949258057899894,0.551367464837889,1.2387908107759409,6.350357142857143
0.95,fifo,0.33014273737503097,0.30183564320790357,0.622590122703047,1.0413049224891489,7.79875
0.95,edf,0.23758511847983887,0.20297292943430778,0.7356723082979225,1.0467569127668466,8.133571428571429
0.95,value,0.24027787584706997,0.22061737288829902,0.7319790505005378,1.0549209602913612,7.455267857142857
0.95,urgency_value,0.25667847887903583,0.23623244031449903,0.7188825932298134,1.0630812765831572,8.062142857142856
0.95,completion_aware,0.3409631634922293,0.3275218216020769,0.6216211083329022,1.0483080722914488,7.788482142857143
1.1,fifo,0.28884346155096174,0.2603432262874611,0.6713015471973964,0.8979261444019655,9.264285714285714
1.1,edf,0.18338458989750298,0.1503516953934978,0.7966472011013574,0.8985905443302886,9.706160714285714
1.1,value,0.19535211298888688,0.17222819441034856,0.7845638174051016,0.9171997391412714,8.983482142857143
1.1,urgency_value,0.2118108031545965,0.18666493150226415,0.7696536912795947,0.8993583230705341,9.675
1.1,completion_aware,0.29881482378365093,0.27969694115555377,0.6726738994635951,0.9119548970189706,9.160267857142857
