snr_std_db,common_time,layered_time,unicast_time,layered_mean_utility
1,75245.8554528108,65531.36138713881,1404642.631778925,0.8500000000000002
3,142988.96003642242,95377.93225901769,1525932.3505849924,0.8500000000000002
5,326844.3455822424,177687.8227934035,1884398.833041575,0.8500000000000002
7,708007.901392458,348976.24939540395,2625330.5805660733,0.8500000000000002
9,1023334.2653950867,490814.17805198964,3554585.7325823708,0.8500000000000002
11,1202191.8130228715,571411.3868282131,4561324.412273425,0.8500000000000002
