backhaul_service_mb_per_request,policy,task_utility,served_version_age,latency_ms,p95_queue_mb,refresh_requested_mb,refresh_delivered_mb
0.8,eager,0.6257235419961528,10.361031746031747,58.24627265368928,578.9078997973758,3818.5211923582624,3328.0000000002074
0.8,periodic_value,0.6297341394126909,10.177341269841271,58.24627265368928,577.6871968885912,3818.596812464904,3328.0000000002074
0.8,congestion_aware,0.6743095011882039,7.754603174603176,58.24627265368928,415.74806905899567,3638.5169425779095,3328.000000000208
1.5,eager,0.7062610998251665,6.030833333333333,58.24627265368928,567.0739468811107,6728.244455414239,6240.0
1.5,periodic_value,0.7119886369558751,5.927499999999999,58.24627265368928,568.8638051553881,6736.913876868754,6240.0
1.5,congestion_aware,0.7562404716247828,4.683055555555556,58.24627265368928,460.39840358138287,6572.697318540915,6240.0
2.8,eager,0.8168784604419194,3.18515873015873,58.24627265368928,553.1241086450015,12069.347047847776,11647.99999999949
2.8,periodic_value,0.838263805183129,2.8331349206349206,58.24627265368928,508.1833126260403,12010.372510575047,11641.198255945907
2.8,congestion_aware,0.8505630494520373,2.6298015873015874,58.24627265368928,489.6003774424922,11929.133925578206,11634.928121892073
5.0,eager,0.9217065262391523,1.5128968253968258,58.24627265368928,516.8075044792165,20812.064363266305,20524.806101312002
5.0,periodic_value,0.9686014353173871,0.9926984126984126,58.24627265368928,231.03344084885876,17090.274054906648,17064.377184065124
5.0,congestion_aware,0.9494140800861642,1.183373015873016,58.24627265368928,418.35305945691607,19870.79260490155,19701.018462682932
8.0,eager,0.9894126162223899,0.7002380952380952,58.24627265368928,437.27245677374634,28810.26084739155,28672.749477054123
8.0,periodic_value,0.9880192929046993,0.7751190476190478,58.24627265368928,198.4456118111035,18084.31312714375,18084.313127143752
8.0,congestion_aware,1.0011315899690334,0.5952380952380952,58.24627265368928,242.84679386413916,23595.937274231666,23595.93727423168
