angle_deg,bartlett,music
-30.0,0.0635038749342152,0.0023519089318676553
-29.95,0.06377907224497649,0.002354062414833613
-29.9,0.06405393179636508,0.0023561878971671262
-29.85,0.06432834823571858,0.00235828412711634
-29.8,0.06460221563345939,0.0023603498562153264
-29.75,0.06487542752735803,0.002362383840268263
-29.7,0.06514787696750757,0.0023643848403512805
-29.65,0.06541945656199698,0.0023663516238311057
-29.6,0.06569005852327238,0.002368282965399473
-29.55,0.06595957471517397,0.0023701776481223173
-29.5,0.06622789670063475,0.002372034464502598
-29.45,0.06649491579002986,0.0023738522175556277
-29.4,0.06676052309016195,0.0023756297218956875
-29.35,0.06702460955386942,0.002377365804832652
-29.3,0.06728706603024291,0.0023790593074773034
-29.25,0.06754778331543604,0.002380709085853949
-29.2,0.06780665220405481,0.0023823140120189327
-29.15,0.06806356354111158,0.0023838729751835424
-29.1,0.06831840827452655,0.002385384882839811
-29.05,0.06857107750816183,0.0023868486618876285
-29.0,0.06882146255537128,0.0023882632597615706
-28.95,0.0690694549930493,0.0023896276455558025
-28.9,0.06931494671616212,0.002390940811145367
-28.85,0.06955782999274322,0.0023922017723021693
-28.8,0.06979799751933578,0.0023934095698039167
-28.75,0.07003534247686438,0.0023945632705342453
-28.7,0.07026975858691582,0.002395661968572284
-28.65,0.07050114016841257,0.002396704786269852
-28.6,0.07072938219465828,0.0023976908753144807
-28.55,0.07095438035073602,0.0023986194177765003
-28.5,0.07117603109124002,0.00239948962713832
-28.45,0.07139423169832021,0.002400300749304177
-28.4,0.07160888034002028,0.002401052063588504
-28.35,0.07181987612888706,0.0024017428836811783
-28.3,0.07202711918083148,0.00240237255858788
-28.25,0.07223051067421958,0.0024029404735438327
-28.2,0.0724299529091717,0.0024034460508992267
-28.15,0.0726253493670484,0.0024038887509746617
-28.1,0.07281660477010084,0.002404268072884963
-28.05,0.07300362514126388,0.0024045835553298377
-28.0,0.07318631786406797,0.002404834777349772
-27.95,0.07336459174264873,0.0024050213590457617
-27.9,0.07353835706183,0.002405142962261411
-27.85,0.07370752564725741,0.0024051992912260734
-27.8,0.07387201092555876,0.002405190093157748
-27.75,0.07403172798450844,0.0024051151588245154
-27.7,0.07418659363317015,0.002404974323063383
-27.65,0.07433652646199607,0.002404767465255514
-27.6,0.07448144690285537,0.002404494509756825
-27.55,0.07462127728897146,0.002404155426283132
-27.5,0.07475594191473875,0.002403750230249024
-27.45,0.07488536709539775,0.002403278983059789
-27.4,0.07500948122654169,0.0024027417923558002
-27.35,0.07512821484343041,0.0024021388122088694
-27.3,0.07524150068008519,0.0024014702432701763
-27.25,0.07534927372814039,0.002400736332869484
-27.2,0.07545147129542604,0.002399937375065476
-27.15,0.07554803306425448,0.0023990737106471052
-27.1,0.07563890114938808,0.002398145727086024
-27.05,0.07572402015565899,0.0023971538584401982
-27.0,0.07580333723521782,0.002396098585208969
-26.95,0.07587680214438385,0.002394980434139897
-26.9,0.07594436730007105,0.002393799977987861
-26.85,0.07600598783576402,0.002392557835226939
-26.8,0.0760616216570178,0.0023912546697157614
-26.75,0.07611122949645535,0.0023898911903170767
-26.7,0.07615477496823665,0.0023884681504723966
-26.65,0.07619222462197345,0.0023869863477326675
-26.6,0.0762235479960629,0.0023854466232460245
-26.55,0.07624871767041566,0.0023838498612037485
-26.5,0.07626770931854977,0.002382196988245664
