pilot_snr_db,two_slot_full_active_ls_nmse,one_slot_frequency_orthogonal_cir_ls_nmse
0,2.2037216746199118,0.7772782020398328
3,1.1470038961163849,0.39184021446242295
6,0.5860824799105492,0.20875054973829751
9,0.2922388287457933,0.10302940201018522
12,0.14434793325711795,0.05078794394718303
18,0.035923295723393436,0.012386649028863826
24,0.009641594627088312,0.0033988638170512446
