scheme,mean_net_rate,mean_sensing_fraction,mean_posterior_std_deg
No sensing,1.6440933457235987,0.0,4.127205213458444
Fixed 5%,2.719190997414401,0.05000000000000001,0.7121311678999492
Myopic adaptive,2.4917824987516215,0.03366666666666667,0.8724625480677147
2-step predictive,2.6036738646220186,0.04483333333333334,0.7771121335078642
