snr_db,receiver,ber,ci95_low,ci95_high,fer,avg_ldpc_iterations
0,K-best K=4 + LDPC,0.2105654761904762,0.20098422736379523,0.22047744394065083,1.0,40.0
0,Exact max-log + LDPC,0.19836309523809523,0.1890024255388572,0.20806842676659887,1.0,40.0
4,K-best K=4 + LDPC,0.06369047619047619,0.05809747312512296,0.0697820231548954,0.8142857142857143,35.785714285714285
4,Exact max-log + LDPC,0.04449404761904762,0.03981900872216194,0.0496895649862747,0.5714285714285714,26.4
8,K-best K=4 + LDPC,0.0011904761904761906,0.0006033630946687432,0.0023475480685718835,0.05714285714285714,5.271428571428571
8,Exact max-log + LDPC,0.0,0.0,0.0005713190657781937,0.0,2.7714285714285714
12,K-best K=4 + LDPC,0.0,0.0,0.0005713190657781937,0.0,1.1571428571428573
12,Exact max-log + LDPC,0.0,0.0,0.0005713190657781937,0.0,1.1571428571428573
