mean_snr_db,policy,accuracy,on_time_accuracy,mean_channel_uses,mean_latency_ms,deadline_miss_rate,mean_energy_mj
-2,local,0.8369166666666668,0.8369166666666668,0.0,0.8499999999999996,0.0,0.09999999999999998
-2,full,0.8514444444444446,0.20806944444444445,16.0,4.0555590063452165,0.7739166666666666,0.31641692547589123
-2,confidence,0.8734166666666666,0.801701388888889,2.3557222222222225,1.2887921213323343,0.10931250000000002,0.12937582576659176
-2,adaptive,0.8657708333333334,0.8657708333333334,1.1657222222222223,0.9539399090488817,0.0,0.10604690984533284
2,local,0.8369166666666668,0.8369166666666668,0.0,0.8499999999999996,0.0,0.09999999999999998
2,full,0.8916041666666666,0.47881250000000003,16.0,2.667364636078801,0.48146527777777776,0.21230234770591003
2,confidence,0.891826388888889,0.8623055555555554,2.5076944444444447,1.1205028644819908,0.04493055555555555,0.11652617316948267
2,adaptive,0.8869305555555554,0.8869305555555554,1.9134722222222222,0.9929856775649429,0.0,0.1078537174840374
6,local,0.8369166666666668,0.8369166666666668,0.0,0.8499999999999996,0.0,0.09999999999999998
6,full,0.9169166666666665,0.7453888888888889,16.0,1.9729931267918654,0.19684722222222226,0.16022448450938992
6,confidence,0.9047986111111112,0.8959791666666669,2.5982777777777777,1.028333554682394,0.013374999999999998,0.10947759993451288
6,adaptive,0.9030833333333333,0.9030833333333333,2.4168333333333334,0.9961013963908173,0.0,0.10733235472931131
10,local,0.8369166666666668,0.8369166666666668,0.0,0.8499999999999996,0.0,0.09999999999999998
10,full,0.9295347222222223,0.886173611111111,16.0,1.6535861579925044,0.049187499999999995,0.13626896184943785
10,confidence,0.9120972222222222,0.9101597222222223,2.6548333333333334,0.9825697865158117,0.0028124999999999995,0.10596048398868589
10,adaptive,0.911486111111111,0.911486111111111,2.6195277777777775,0.9770846457732856,0.0,0.10560205676632978
14,local,0.8369166666666668,0.8369166666666668,0.0,0.8499999999999996,0.0,0.09999999999999998
14,full,0.9352291666666668,0.9290763888888889,16.0,1.4993407675187689,0.007118055555555555,0.12470055756390767
14,confidence,0.9157361111111112,0.9155069444444445,2.6788333333333334,0.9587087512895408,0.00044444444444444436,0.10413490634671557
14,adaptive,0.9160277777777778,0.9160277777777778,2.6746666666666665,0.9580216202269062,0.0,0.10408962151701796
