snr_db,detection_rate,timing_mae_samples,cfo_rmse_subcarrier
-4.000000000000000000e+00,9.933333333333332904e-01,2.133333333333333470e-01,1.318743644790865976e-01
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.604764928108339261e-02
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.007265438176554895e-02
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.312274566434159573e-02
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.614430376305499987e-02
1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.934352464430795476e-03
2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.257531226508405965e-03
