angle_std_deg,elements,expected_rate,selected
0.2,8,2.595617146157256,False
0.2,16,3.4685261188454306,False
0.2,32,4.39124179922987,False
0.2,64,5.312541869123631,True
0.5,8,2.591628652506687,False
0.5,16,3.4508780289799037,False
0.5,32,4.316035127894296,False
0.5,64,4.982238457781677,True
1.0,8,2.577376035798337,False
1.0,16,3.3872462131882726,False
1.0,32,4.033342812880128,True
1.0,64,3.959868308442869,False
2.0,8,2.520301690557879,False
2.0,16,3.127973504854895,False
2.0,32,3.131757741486497,True
2.0,64,2.6406118314710354,False
3.0,8,2.4256282372426607,False
3.0,16,2.7448106143940563,True
3.0,32,2.4563975175793917,False
3.0,64,1.9873018184283586,False
4.0,8,2.2974703213074976,False
4.0,16,2.371742296522006,True
4.0,32,2.016974411747491,False
4.0,64,1.5985959333666866,False
6.0,8,1.9912992544594807,True
6.0,16,1.8287048809695803,False
6.0,32,1.486948901225568,False
6.0,64,1.1343660115627194,False
8.0,8,1.7052177721006683,True
8.0,16,1.4828754733777976,False
8.0,32,1.1789319856306109,False
8.0,64,0.8912570716505261,False
10.0,8,1.4765822555739712,True
10.0,16,1.2469581225747062,False
10.0,32,0.9790337244152302,False
10.0,64,0.7486302826483113,False
