scheme,mean_rate,p10_rate,angle_mae_deg,outage_prob
Reactive/hold,2.9962787160117776,0.5326575651416305,2.333039255524986,0.15833333333333333
CV predictive,2.4888009412790484,0.49963623306497407,2.7596581331476733,0.2
CA predictive,3.981219333597395,3.867488959403264,0.5832164018532986,0.0
Oracle,4.074585234905427,4.074585234905427,0.0,0.0
