prior_std_deg,sensing_fraction,elements,posterior_std_deg,raw_rate,net_rate
0.5,0.0,8,0.5,1.2835287090126637,1.2835287090126637
0.5,0.0,16,0.5,1.9389940613297059,1.9389940613297059
0.5,0.0,32,0.5,2.678013895376166,2.678013895376166
0.5,0.0,64,0.5,3.2946760782103506,3.2946760782103506
0.5,0.01,8,0.49743719481074805,1.2835629437187965,1.2707273142816085
0.5,0.01,16,0.49743719481074805,1.9391682440448976,1.9197765616044487
0.5,0.01,32,0.49743719481074805,2.6788240052906493,2.6520357652377426
0.5,0.01,64,0.49743719481074805,3.298279088111003,3.265296297229893
0.5,0.02,8,0.49491339773243226,1.2835964862976241,1.2579245565716717
0.5,0.02,16,0.49491339773243226,1.939338906808661,1.9005521286724878
0.5,0.02,32,0.49491339773243226,2.6796176930145212,2.6260253391542308
0.5,0.02,64,0.49491339773243226,3.30181206316343,3.2357758219001616
0.5,0.04,8,0.4899789435061113,1.283661577365859,1.2323151142712248
0.5,0.04,16,0.4899789435061113,1.939670090777981,1.8620832871468616
0.5,0.04,32,0.4899789435061113,2.6811577567046676,2.573911446436481
0.5,0.04,64,0.4899789435061113,3.3086755386170243,3.1763285170723434
0.5,0.06,8,0.48518920053035397,1.2837241388071954,1.2067006904787636
0.5,0.06,16,0.48518920053035397,1.9399884092148787,1.8235891046619859
0.5,0.06,32,0.48518920053035397,2.6826378062533047,2.5216795378781063
0.5,0.06,64,0.48518920053035397,3.315281116436823,3.1163642494506134
0.5,0.1,8,0.47601655464870696,1.2838422405906444,1.15545801653158
0.5,0.1,16,0.47601655464870696,1.9405893358100028,1.7465304022290025
0.5,0.1,32,0.47601655464870696,2.685431351106558,2.416888215995902
0.5,0.1,64,0.47601655464870696,3.3277722095198197,2.994994988567838
0.5,0.15,8,0.46525042788159493,1.2839779970538678,1.0913812974957877
0.5,0.15,16,0.46525042788159493,1.941280114758507,1.650088097544731
0.5,0.15,32,0.46525042788159493,2.6886417286165214,2.285345469324043
0.5,0.15,64,0.46525042788159493,3.3421599175555095,2.840835929922183
0.5,0.2,8,0.4551832387313024,1.2841021430277968,1.0272817144222375
0.5,0.2,16,0.4551832387313024,1.9419118349372397,1.553529467949792
0.5,0.2,32,0.4551832387313024,2.691576784803148,2.153261427842519
0.5,0.2,64,0.4551832387313024,3.3553389212140257,2.684271136971221
0.5,0.3,8,0.4368658089342457,1.284321091959176,0.8990247643714232
0.5,0.3,16,0.4368658089342457,1.9430260066569782,1.3601182046598848
0.5,0.3,32,0.4368658089342457,2.69675130047415,1.8877259103319048
0.5,0.3,64,0.4368658089342457,3.3786155858586175,2.3650309101010323
1,0.0,8,1.0,1.2735242661295318,1.2735242661295318
1,0.0,16,1.0,1.8882131615874687,1.8882131615874687
1,0.0,32,1.0,2.444272786715036,2.444272786715036
1,0.0,64,1.0,2.507519616242044,2.507519616242044
1,0.01,8,0.9799578870122226,1.274051570013963,1.2613110543138233
1,0.01,16,0.9799578870122226,1.890880963538014,1.8719721539026337
1,0.01,32,0.9799578870122226,2.456178561594619,2.4316167759786724
1,0.01,64,0.9799578870122226,2.536322107619304,2.510958886543111
1,0.02,8,0.9610744623271419,1.2745388264779567,1.2490480499483976
1,0.02,16,0.9610744623271419,1.8933472823911979,1.8554803367433739
1,0.02,32,0.9610744623271419,2.4672450041039093,2.417900104021831
1,0.02,64,0.9610744623271419,2.5639057168586876,2.5126276025215137
1,0.04,8,0.9263671131731709,1.2754101560716284,1.2243937498287634
1,0.04,16,0.9263671131731709,1.8977602062857108,1.8218497980342823
1,0.04,32,0.9263671131731709,2.4871794834532266,2.3876923041150975
1,0.04,64,0.9263671131731709,2.6157079222146282,2.511079605326043
1,0.06,8,0.8951673046482754,1.2761665831957996,1.1995965882040516
1,0.06,16,0.8951673046482754,1.9015936999925065,1.787498077992956
1,0.06,32,0.8951673046482754,2.5046231053916723,2.354345719068172
1,0.06,64,0.8951673046482754,2.6634473007400583,2.5036404626956545
1,0.1,8,0.8411910241920598,1.2774150451181119,1.1496735406063008
1,0.1,16,0.8411910241920598,1.9079254218739112,1.7171328796865202
1,0.1,32,0.8411910241920598,2.5336546808407756,2.2802892127566983
1,0.1,64,0.8411910241920598,2.7484253337585125,2.4735828003826614
1,0.15,8,0.7857142857142857,1.2786185212583214,1.0868257430695731
1,0.15,16,0.7857142857142857,1.9140339060742781,1.6269288201631364
1,0.15,32,0.7857142857142857,2.561869493136109,2.1775890691656925
1,0.15,64,0.7857142857142857,2.838371514093702,2.4126157869796465
1,0.2,8,0.7399400733959438,1.2795505173494153,1.0236404138795323
1,0.2,16,0.7399400733959438,1.9187673615205507,1.5350138892164407
1,0.2,32,0.7399400733959438,2.583833384480545,2.067066707584436
1,0.2,64,0.7399400733959438,2.913920317481676,2.331136253985341
1,0.3,8,0.6682024131538657,1.2808998715088664,0.8966299100562064
1,0.3,16,0.6682024131538657,1.92562442877453,1.347937100142171
1,0.3,32,0.6682024131538657,2.615744202822241,1.8310209419755685
1,0.3,64,0.6682024131538657,3.0328919711680933,2.1230243798176653
2,0.0,8,2.0,1.2343734514346278,1.2343734514346278
2,0.0,16,2.0,1.6979205666515904,1.6979205666515904
2,0.0,32,2.0,1.8156354767061849,1.8156354767061849
2,0.0,64,2.0,1.5728521492070568,1.5728521492070568
2,0.01,8,1.8527342263463418,1.2416643737295685,1.2292477299922728
2,0.01,16,1.8527342263463418,1.7317165702677357,1.7143994045650583
2,0.01,32,1.8527342263463418,1.8993093692997571,1.8803162756067595
2,0.01,64,1.8527342263463418,1.6653532428576632,1.6486997104290866
2,0.02,8,1.7338428937260215,1.2471800847911538,1.2222364830953307
2,0.02,16,1.7338428937260215,1.757885955111805,1.7227282360095688
2,0.02,32,1.7338428937260215,1.9707511691977926,1.9313361458138367
2,0.02,64,1.7338428937260215,1.748279813639538,1.7133142173667473
2,0.04,8,1.5517603548889163,1.2549693728719802,1.2047705979571008
2,0.04,16,1.5517603548889163,1.795623613689711,1.7237986691421225
2,0.04,32,1.5517603548889163,2.0860366461034108,2.002595180259274
2,0.04,64,1.5517603548889163,1.8923084333961684,1.8166160960603215
2,0.06,8,1.4171445780818277,1.260205162674975,1.1845928529144765
2,0.06,16,1.4171445780818277,1.8214287044642137,1.7121429821963607
2,0.06,32,1.4171445780818277,2.1745408815580096,2.044068428664529
2,0.06,64,1.4171445780818277,2.014594279863938,1.8937186230721017
2,0.1,8,1.2279202588090847,1.2667973624754179,1.140117626227876
2,0.1,16,1.2279202588090847,1.8543161896415492,1.6688845706773943
2,0.1,32,1.2279202588090847,2.3000672544528773,2.0700605290075895
2,0.1,64,1.2279202588090847,2.214359252696383,1.9929233274267446
2,0.15,8,1.0722143934228747,1.2715378760699556,1.0808071946594622
2,0.15,16,1.0722143934228747,1.8781757531462273,1.596449390174293
2,0.15,32,1.0722143934228747,2.4001388645353496,2.040118034855047
2,0.15,64,1.0722143934228747,2.407843710710054,2.0466671541035457
2,0.2,8,0.9638374995443117,1.2744681106746722,1.0195744885397378
2,0.2,16,0.9638374995443117,1.8929892786122982,1.5143914228898385
2,0.2,32,0.9638374995443117,2.4656351835977723,1.972508146878218
2,0.2,64,0.9638374995443117,2.5598428661322985,2.047874292905839
2,0.3,8,0.8193228149962446,1.2778990992933392,0.8945293695053373
2,0.3,16,0.8193228149962446,1.9103817914332974,1.3372672540033081
2,0.3,32,0.8193228149962446,2.5449796239514364,1.7814857367660053
2,0.3,64,0.8193228149962446,2.7836095460147594,1.9485266822103315
4,0.0,8,4.0,1.09523843370129,1.09523843370129
4,0.0,16,4.0,1.233501694620181,1.233501694620181
4,0.0,32,4.0,1.10877026219252,1.10877026219252
4,0.0,64,4.0,0.8959614846215498,0.8959614846215498
4,0.01,8,3.1035207097778326,1.1653024950225062,1.153649470072281
4,0.01,16,3.1035207097778326,1.428505718446746,1.4142206612622785
4,0.01,32,3.1035207097778326,1.3471285818991598,1.3336572960801683
4,0.01,64,3.1035207097778326,1.1101576616892017,1.0990560850723097
4,0.02,8,2.6248199395963323,1.1981505403536858,1.1741875295466122
4,0.02,16,2.6248199395963323,1.5452177774296163,1.514313421881024
4,0.02,32,2.6248199395963323,1.5197327973741104,1.4893381414266282
4,0.02,64,2.6248199395963323,1.272584905993643,1.24713320787377
4,0.04,8,2.0952380952380953,1.2293942514253906,1.180218481368375
4,0.04,16,2.0952380952380953,1.6753996074038957,1.6083836231077397
4,0.04,32,2.0952380952380953,1.764458214514154,1.693879885933588
4,0.04,64,2.0952380952380953,1.51828126717021,1.4575500164834014
4,0.06,8,1.794797436185609,1.2443940812632934,1.1697304363874959
4,0.06,16,1.794797436185609,1.7446061462743727,1.6399297774979102
4,0.06,32,1.794797436185609,1.9337060793721212,1.817683714609794
4,0.06,64,1.794797436185609,1.7047697748400428,1.6024835883496402
4,0.1,8,1.449849293901661,1.2589745280231484,1.1330770752208335
4,0.1,16,1.449849293901661,1.8153355559554698,1.633802000359923
4,0.1,32,1.449849293901661,2.1528762328231497,1.9375886095408348
4,0.1,64,1.449849293901661,1.9835007604233563,1.7851506843810208
4,0.15,8,1.210601667217252,1.2673553517691614,1.0772520490037871
4,0.15,16,1.210601667217252,1.8571166907850196,1.5785491871672666
4,0.15,32,1.210601667217252,2.311432092790992,1.9647172788723433
4,0.15,64,1.210601667217252,2.2344935906554477,1.8993195520571304
4,0.2,8,1.0606259320841696,1.2718657359748855,1.0174925887799084
4,0.2,16,1.0606259320841696,1.8798310318074447,1.503864825445956
4,0.2,32,1.0606259320841696,2.407340998461266,1.925872798769013
4,0.2,64,1.0606259320841696,2.4234051935377177,1.9387241548301741
4,0.3,8,0.8763271229954154,1.276611025936623,0.893627718155636
4,0.3,16,0.8763271229954154,1.9038471063031586,1.332692974412211
4,0.3,32,0.8763271229954154,2.5149260900254324,1.7604482630178027
4,0.3,64,0.8763271229954154,2.692781938148361,1.8849473567038524
6,0.0,8,6.0,0.9277790936764408,0.9277790936764408
6,0.0,16,6.0,0.927040119503589,0.927040119503589
6,0.0,32,6.0,0.7935171020889574,0.7935171020889574
6,0.0,64,6.0,0.6258434865281534,0.6258434865281534
6,0.01,8,3.8041767568479514,1.11124540561981,1.1001329515636118
6,0.01,16,3.8041767568479514,1.2728460780053816,1.260117617225328
6,0.01,32,3.8041767568479514,1.153486532695331,1.1419516673683776
6,0.01,64,3.8041767568479514,0.9355062580480847,0.9261511954676038
6,0.02,8,3.0093409670778515,1.1720692544902434,1.1486278694004384
6,0.02,16,3.0093409670778515,1.450990656720271,1.4219708435858656
6,0.02,32,3.0093409670778515,1.3780603308187238,1.3504991242023494
6,0.02,64,3.0093409670778515,1.1387489652038105,1.1159739858997344
6,0.04,8,2.2758620689655173,1.219398759757709,1.1706228093674005
6,0.04,16,2.2758620689655173,1.6316375974304251,1.5663720935332082
6,0.04,32,2.2758620689655173,1.6736541185357874,1.6067079537943558
6,0.04,64,2.2758620689655173,1.4245031751631263,1.3675230481566012
6,0.06,8,1.9044625275217117,1.2391606211857238,1.1648109839145804
6,0.06,16,1.9044625275217117,1.7200047622265584,1.6168044764929648
6,0.06,32,1.9044625275217117,1.8692953191129265,1.7571375999661507
6,0.06,64,1.9044625275217117,1.6316560506269326,1.5337566875893165
6,0.1,8,1.5058449370677092,1.2568056855710275,1.1311251170139247
6,0.1,16,1.5058449370677092,1.8046378479784635,1.6241740631806172
6,0.1,32,1.5058449370677092,2.115998896843797,1.9043990071594172
6,0.1,64,1.5058449370677092,1.9323649923962107,1.7391284931565898
6,0.15,8,1.2426315970828885,1.2663173674385466,1.0763697623227646
6,0.15,16,1.2426315970828885,1.8519090108142373,1.5741226591921016
6,0.15,32,1.2426315970828885,2.2903825945219514,1.9468252053436585
6,0.15,64,1.2426315970828885,2.1975152381945904,1.8678879524654017
6,0.2,8,1.0819672131147542,1.271259260279691,1.0170074082237528
6,0.2,16,1.0819672131147542,1.8767695641066127,1.5014156512852903
6,0.2,32,1.0819672131147542,2.3940453002578335,1.9152362402062668
6,0.2,64,1.0819672131147542,2.394875185716562,1.9159001485732496
6,0.3,8,0.8882496846405761,1.2763308504193724,0.8934315952935606
6,0.3,16,0.8882496846405761,1.9024264798756538,1.3316985359129576
6,0.3,32,0.8882496846405761,2.5084267035344587,1.755898692474121
6,0.3,64,0.8882496846405761,2.674175316622404,1.8719227216356826
10,0.0,8,10.0,0.6698982614997199,0.6698982614997199
10,0.0,16,10.0,0.6127639340900158,0.6127639340900158
10,0.0,32,10.0,0.5056314203767717,0.5056314203767717
10,0.0,64,10.0,0.3981754623862094,0.3981754623862094
10,0.01,8,4.414147946478204,1.060614841701871,1.0500086932848522
10,0.01,16,4.414147946478204,1.156412467673288,1.1448483429965552
10,0.01,32,4.414147946478204,1.0246371325836041,1.014390761257768
10,0.01,64,4.414147946478204,0.8225633592838836,0.8143377256910448
10,0.02,8,3.285412300992245,1.1518588215942303,1.1288216451623456
10,0.02,16,3.285412300992245,1.3860098560516099,1.3582896589305777
10,0.02,32,3.285412300992245,1.2910345752145205,1.26521388371023
10,0.02,64,3.285412300992245,1.0587656169652593,1.037590304625954
10,0.04,8,2.388484079893711,1.212812211750679,1.1642997232806518
10,0.04,16,2.388484079893711,1.6038854477317677,1.539730029822497
10,0.04,32,2.388484079893711,1.6210192529340528,1.5561784828166907
10,0.04,64,2.388484079893711,1.3716597174613208,1.316793328762868
10,0.06,8,1.969000383955112,1.2359497704721727,1.1617927842438422
10,0.06,16,1.969000383955112,1.705146670772634,1.6028378705262758
10,0.06,32,1.969000383955112,1.8327924625339638,1.722824914781926
10,0.06,64,1.969000383955112,1.5914657115439546,1.4959777688513172
10,0.1,8,1.5371466298845016,1.255559464319737,1.1300035178877632
10,0.1,16,1.5371466298845016,1.7985158011017701,1.6186642209915931
10,0.1,32,1.5371466298845016,2.0955415976359593,1.8859874378723633
10,0.1,64,1.5371466298845016,1.9048807389911138,1.7143926650920025
10,0.15,8,1.2600468829471283,1.2657420252474934,1.0758807214603694
10,0.15,16,1.2600468829471283,1.8490260213712053,1.5716721181655244
10,0.15,32,1.2600468829471283,2.2788864688667974,1.9370534985367778
10,0.15,64,1.2600468829471283,2.1778779403535258,1.8511962493004968
10,0.2,8,1.0934047915289762,1.2709293853866421,1.0167435083093137
10,0.2,16,1.0934047915289762,1.8751052374177763,1.5000841899342212
10,0.2,32,1.0934047915289762,2.386863054657021,1.909490443725617
10,0.2,64,1.0934047915289762,2.3798148680062337,1.903851894404987
10,0.3,8,0.8945454858279692,1.2761814002552039,0.8933269801786426
10,0.3,16,0.8945454858279692,1.9016688133754813,1.3311681693628368
10,0.3,32,0.8945454858279692,2.5049659758919733,1.7534761831243812
10,0.3,64,0.8945454858279692,2.6644095610317486,1.8650866927222238
