deadline_ms,mean_snr_db,policy,accuracy,on_time_accuracy,channel_uses,latency_ms,deadline_miss
1.5,0,static,0.8307187500000001,0.3608854166666666,7.026000000000001,2.435297667378925,0.5855
1.5,0,channel_aware,0.7226145833333334,0.7226145833333334,0.0,1.0,0.0
1.5,5,static,0.8594583333333334,0.3608854166666666,7.026000000000001,1.8444890704389825,0.5855
1.5,5,channel_aware,0.7226145833333334,0.7226145833333334,0.0,1.0,0.0
1.5,10,static,0.8745677083333333,0.3608854166666666,7.026000000000001,1.596372190596814,0.5855
1.5,10,channel_aware,0.7226145833333334,0.7226145833333334,0.0,1.0,0.0
1.5,15,static,0.8808385416666666,0.3608854166666666,7.026000000000001,1.4946021448258988,0.5855
1.5,15,channel_aware,0.7226145833333334,0.7226145833333334,0.0,1.0,0.0
1.8,0,static,0.8307187500000001,0.36126041666666664,7.026000000000001,2.435297667378925,0.5850729166666666
1.8,0,channel_aware,0.722703125,0.722703125,0.006937500000000001,1.000451065065647,0.0
1.8,5,static,0.8594583333333334,0.36892708333333335,7.026000000000001,1.8444890704389825,0.5764010416666667
1.8,5,channel_aware,0.7252708333333333,0.7252708333333333,0.15037499999999998,1.0097370244505306,0.0
1.8,10,static,0.8745677083333333,0.4255364583333333,7.026000000000001,1.596372190596814,0.5126927083333334
1.8,10,channel_aware,0.745203125,0.745203125,1.2069999999999999,1.0773865856844456,0.0
1.8,15,static,0.8808385416666666,0.5909947916666667,7.026000000000001,1.4946021448258988,0.3275989583333333
1.8,15,channel_aware,0.8037083333333334,0.8037083333333334,4.2776250000000005,1.269866491167069,0.0
2.2,0,static,0.8307187500000001,0.44514062499999996,7.026000000000001,2.435297667378925,0.48876562500000004
2.2,0,channel_aware,0.7500572916666666,0.7500572916666666,1.54025,1.1345439495939689,0.0
2.2,5,static,0.8594583333333334,0.6237552083333333,7.026000000000001,1.8444890704389825,0.28627604166666665
2.2,5,channel_aware,0.8111197916666666,0.8111197916666666,4.828875,1.3998812108048302,0.0
2.2,10,static,0.8745677083333333,0.7990729166666667,7.026000000000001,1.596372190596814,0.09002604166666665
2.2,10,channel_aware,0.8730052083333334,0.8730052083333334,8.126562499999999,1.6211981265513984,0.0
2.2,15,static,0.8808385416666666,0.870125,7.026000000000001,1.4946021448258988,0.012619791666666666
2.2,15,channel_aware,0.8993645833333332,0.8993645833333332,9.48375,1.6570023747346678,0.0
3.0,0,static,0.8307187500000001,0.63165625,7.026000000000001,2.435297667378925,0.2654427083333334
3.0,0,channel_aware,0.79640625,0.79640625,4.010375,1.4425941040244366,0.0
3.0,5,static,0.8594583333333334,0.7996458333333334,7.026000000000001,1.8444890704389825,0.07778125000000001
3.0,5,channel_aware,0.8566510416666666,0.8566510416666666,7.3101875,1.6971316893781727,0.0
3.0,10,static,0.8745677083333333,0.8667916666666666,7.026000000000001,1.596372190596814,0.010067708333333333
3.0,10,channel_aware,0.8908645833333333,0.8908645833333333,9.13325,1.737704491448068,0.0
3.0,15,static,0.8808385416666666,0.8803697916666666,7.026000000000001,1.4946021448258988,0.0005781250000000001
3.0,15,channel_aware,0.9028125,0.9028125,9.64425,1.6749520735647265,0.0
