arrival_rate,policy,on_time_task_utility,on_time_accuracy,deadline_miss_rate,radio_uses_per_request,admission_fraction,mean_backlog
0.4,admit_all,0.8189005395438997,0.8224801394038602,0.07616989743859666,1.8650076638380644,1.0,1.5158666666666667
0.4,backlog_gate,0.8192391639120554,0.8228436721501561,0.0756838099907225,1.8596485151421658,0.9985865612894299,1.5288666666666666
0.4,backpressure,0.8535645190835369,0.8585079078439894,0.04393318268634826,1.7933570006987787,0.952859958617481,1.2334
0.6,admit_all,0.6811245162810251,0.6814498800465565,0.23812053126469665,1.5516238758289882,1.0,3.6951333333333336
0.6,backlog_gate,0.7025325039499764,0.7043484832189681,0.20394072564990456,1.541640907915377,0.956504961485056,3.4268666666666667
0.6,backpressure,0.7620161596162384,0.7704709069762791,0.12485822945544837,1.5197527258252717,0.8772346682236977,2.7132666666666667
0.8,admit_all,0.527569541140877,0.53190107367948,0.4104260573879831,1.2420150230105407,1.0,5.8564
0.8,backlog_gate,0.6321818248470178,0.6346929840142392,0.2799677196578223,1.2227995718368663,0.8696676987105141,4.875
0.8,backpressure,0.6759015870370071,0.6913432078641409,0.2093978489172262,1.2087014595310661,0.7983605435526526,4.156666666666667
1.0,admit_all,0.41635823826103413,0.4237538391193877,0.530541655583767,1.0010670608272245,1.0,7.982000000000001
1.0,backlog_gate,0.6006986631920019,0.6066644957524895,0.2908252741171659,0.9885630626165541,0.7669017516727377,5.734066666666666
1.0,backpressure,0.6177098722269482,0.6389590390739526,0.2643007530981865,0.9914147609549595,0.7284913444450678,5.291600000000001
1.2,admit_all,0.3406345492381177,0.3503523001094111,0.615531683013139,0.8243029238310605,1.0,10.067600000000002
1.2,backlog_gate,0.5964622640512683,0.6049541398521677,0.2794051275334086,0.8230955917249017,0.6712835035175054,6.2208
1.2,backpressure,0.5869194516247719,0.6116701518780283,0.29051387854708927,0.8253870552739245,0.6681560390128867,6.1244
1.5,admit_all,0.26143342114959417,0.27733314562881517,0.693641503622968,0.6641006274542809,1.0,12.850733333333334
1.5,backlog_gate,0.6092784130426014,0.620726082807959,0.24733086891904582,0.6649512244928351,0.563676220914907,6.562600000000001
1.5,backpressure,0.5570759052027239,0.5893193163101935,0.30685366628885247,0.6652241991598206,0.5979826366859193,7.142666666666666
