harvest_scale,policy,excess_loss,carbon_proxy,jain_fairness,min_participation,underfilled_round_fraction,energy_infeasible_fraction
0.12,random_feasible,0.012764241043567104,294.21603008578694,0.9304053372816092,0.04345238095238095,0.9321428571428572,0.891592261904762
0.12,carbon_only,0.00911280037619226,295.3595287504374,0.9260860815725785,0.042261904761904764,0.9351190476190477,0.8981894841269841
0.12,debt_carbon,0.013234694300698164,295.5805101436673,0.9257603723748699,0.042261904761904764,0.9321428571428572,0.8899801587301587
0.12,debt_battery_carbon,0.013234694300698195,295.5805101436673,0.9257603723748699,0.042261904761904764,0.9309523809523809,0.8877728174603176
0.22,random_feasible,0.0044515803865525306,502.20478372170453,0.9199605607216527,0.06904761904761905,0.8488095238095238,0.8238591269841269
0.22,carbon_only,0.0030775258643239473,498.37302797713477,0.9206644809050346,0.07023809523809524,0.8505952380952381,0.8362847222222223
0.22,debt_carbon,0.002357465432632655,500.55276353892526,0.9208961409669406,0.07023809523809524,0.8380952380952381,0.821875
0.22,debt_battery_carbon,0.002339603210469713,500.55276353892526,0.9208961409669406,0.07023809523809524,0.838095238095238,0.8188244047619049
0.35,random_feasible,0.002316605498526327,764.4692641352685,0.9199133366046952,0.10238095238095238,0.5047619047619047,0.7038194444444447
0.35,carbon_only,0.003254855081424638,750.6182658240621,0.91605465511117,0.10476190476190476,0.5375,0.7423859126984126
0.35,debt_carbon,0.002932683644859562,765.1719935345891,0.9201550735211627,0.10595238095238098,0.5142857142857143,0.7040178571428571
0.35,debt_battery_carbon,0.0021526571190667193,765.8803104140927,0.9197926990605285,0.10595238095238098,0.5142857142857143,0.6949652777777777
0.5,random_feasible,0.0023866086641833478,960.677752409557,0.9582852372416216,0.14702380952380953,0.0,0.2256200396825397
0.5,carbon_only,0.009952706522235209,886.8451013505427,0.8408514204968719,0.03273809523809524,0.01130952380952381,0.5229414682539683
0.5,debt_carbon,0.004686185078630191,933.9499741944053,0.9476150708552528,0.1482142857142857,0.0023809523809523807,0.3618055555555556
0.5,debt_battery_carbon,0.0027789570517241674,933.580648162317,0.9458300974534293,0.1482142857142857,0.0005952380952380952,0.2819196428571428
0.75,random_feasible,0.005727113857929915,971.247050000755,0.9855066839729121,0.18630952380952379,0.0,0.039335317460317466
0.75,carbon_only,0.11156085203000818,714.1187075815069,0.5821419069846093,0.0,0.0,0.2853918650793651
0.75,debt_carbon,0.0005797561823113671,962.6832937249299,0.9961250130800748,0.21547619047619046,0.0,0.05362103174603174
0.75,debt_battery_carbon,0.0010550633536346601,962.1342014127125,0.9959844624820073,0.21547619047619046,0.0,0.041840277777777775
1.0,random_feasible,0.002535938321199075,971.8543209236042,0.9889801712569397,0.1982142857142857,0.0,0.010590277777777778
1.0,carbon_only,0.26557856466269686,622.7248301126083,0.4547016397826347,0.0,0.0,0.1727678571428571
1.0,debt_carbon,0.002210888307654107,966.8185110013446,0.9994020484202499,0.24285714285714285,0.0,0.00798611111111111
1.0,debt_battery_carbon,0.0007912170846871648,966.5330156502204,0.9993690219731824,0.24226190476190476,0.0,0.004811507936507936
