zone_failure_probability,policy,task_weighted_outage_rate,raw_outage_rate,failure_domains_per_model,replication_factor,mean_latency_ms,p95_latency_ms
0.01,popularity,0.02297139697270252,0.013171428571428574,1.6666666666666667,2.8333333333333335,25.247286207196016,33.41881236863164
0.01,criticality,0.013917539383068278,0.007557142857142858,1.5,2.6666666666666665,24.435122064811896,32.481216210034646
0.01,diversity_risk,0.008443601928928764,0.0030428571428571427,2.3333333333333335,2.3333333333333335,24.17338264534942,32.25033990230864
0.03,popularity,0.03698783562168852,0.022514285714285716,1.6666666666666667,2.8333333333333335,26.143214440519653,34.53858343994551
0.03,criticality,0.02819353839338798,0.017228571428571426,1.5,2.6666666666666665,25.379347682217922,33.43941463203343
0.03,diversity_risk,0.013802279531251127,0.005171428571428572,2.3333333333333335,2.3333333333333335,24.426390057190297,32.488162106879486
0.06,popularity,0.059433932450364005,0.03737142857142857,1.6666666666666667,2.8333333333333335,27.568692528929933,37.580613621200754
0.06,criticality,0.05173123359497387,0.033414285714285716,1.5,2.6666666666666665,26.956608483179014,36.115613364293594
0.06,diversity_risk,0.022869470631274598,0.009428571428571429,2.3333333333333335,2.3333333333333335,24.907076745986164,32.948232208917275
0.1,popularity,0.08876200828757855,0.056971428571428576,1.6666666666666667,2.8333333333333335,29.453757578904593,120.0
0.1,criticality,0.08234212113424391,0.05477142857142857,1.5,2.6666666666666665,29.039244844629856,120.0
0.1,diversity_risk,0.03552260409575568,0.016185714285714286,2.3333333333333335,2.3333333333333335,25.648074368786478,33.72283749134541
0.15,popularity,0.12544779828535524,0.08225714285714285,1.6666666666666667,2.8333333333333335,31.891218627313606,120.0
0.15,criticality,0.12102861727639443,0.0829857142857143,1.5,2.6666666666666665,31.79157410203599,120.0
0.15,diversity_risk,0.05337030285612974,0.0264,2.3333333333333335,2.3333333333333335,26.75223042701294,35.278871818145134
0.2,popularity,0.16222425019262535,0.1086,1.6666666666666667,2.8333333333333335,34.43087523993862,120.0
0.2,criticality,0.16042065211345385,0.11341428571428572,1.5,2.6666666666666665,34.751044939856705,120.0
0.2,diversity_risk,0.07334970733028569,0.03998571428571428,2.3333333333333335,2.3333333333333335,28.17176924934008,38.79504228494205
