logging_policy,target_policy,estimator,support_violation_mass,identifiable_fraction,mean_absolute_error,signed_bias,critical_target_unprotected_probability
deterministic,balanced,dm,0.27349703079870735,0.0,0.0021235025731658973,-0.0021052928937746714,0.0
deterministic,balanced,ips,0.27349703079870735,0.0,0.038155145937793365,-0.038155145937793365,0.0
deterministic,balanced,dr,0.27349703079870735,0.0,0.002254629019356272,-0.002241557727740348,0.0
deterministic,unsafe_critical_probe,dm,0.3816022912160019,0.0,0.00846217239265799,-0.00846217239265799,0.5
deterministic,unsafe_critical_probe,ips,0.3816022912160019,0.0,0.0723317787738935,-0.0723317787738935,0.5
deterministic,unsafe_critical_probe,dr,0.3816022912160019,0.0,0.00858926542208215,-0.00858926542208215,0.5
conservative,balanced,dm,0.0,1.0,0.003598126201769666,-0.0012465201026673784,0.0
conservative,balanced,ips,0.0,1.0,0.0059821989693880665,0.0004268453997298277,0.0
conservative,balanced,dr,0.0,1.0,0.006801194313679375,0.0002778546503236598,0.0
conservative,unsafe_critical_probe,dm,0.1081052604172946,0.0,0.012267403034475956,-0.012236030554973756,0.5
conservative,unsafe_critical_probe,ips,0.1081052604172946,0.0,0.03374978743637032,-0.03374978743637032,0.5
conservative,unsafe_critical_probe,dr,0.1081052604172946,0.0,0.012345475629332983,-0.01070696622180963,0.5
safe_explore,balanced,dm,0.0,1.0,0.003524225168900817,0.0008877142425521636,0.0
safe_explore,balanced,ips,0.0,1.0,0.0033142935716221995,0.00019216106321969656,0.0
safe_explore,balanced,dr,0.0,1.0,0.0034022272657139433,0.00031507148655588043,0.0
safe_explore,unsafe_critical_probe,dm,0.1081052604172946,0.0,0.005009666947140753,-0.0030141304352346216,0.5
safe_explore,unsafe_critical_probe,ips,0.1081052604172946,0.0,0.03398447177288045,-0.03398447177288045,0.5
safe_explore,unsafe_critical_probe,dr,0.1081052604172946,0.0,0.004799192355726284,-0.0035798868819604756,0.5
