channel_disparity_db,strategy,final_loss,parameter_error,group_loss_gap,participation_jain,strong_group_selection_fraction,mean_selected_weakest_gain,sd_final_loss,sd_parameter_error,sd_group_loss_gap,sd_participation_jain,sd_strong_group_fraction,sd_weakest_gain
0,random,0.25742795409053226,0.07585775293269875,0.07647575631478921,0.9885568727930524,0.5041666666666668,0.43257994903394376,0.01389818039859741,0.03169698427758602,0.032857721881590786,0.0020331469893365914,0.015261986788774934,0.007007198702192297
0,channel,0.25550469926002917,0.05401366129664518,0.057448860364492725,0.9893821518613191,0.4954861111111111,1.1091281838236335,0.011415244591793236,0.017568658977270536,0.03586248476225482,0.0037822647689133393,0.013788701146989418,0.017414139674489557
0,age_channel,0.25424975315076653,0.023225205187925552,0.04511263725228437,0.9985611855197929,0.5010416666666667,0.7679511815266519,0.011583727267207721,0.009960546145487921,0.023778275436207995,0.0002901855286875173,0.0049227246106797835,0.024666497972610654
0,gradient_channel,0.2548744700740747,0.03782852589923851,0.0433885664019874,0.923896043089386,0.501736111111111,1.0456341141112262,0.011346334089380846,0.022147196911559853,0.02936583595083784,0.017540816207830864,0.007740797503336087,0.021134184660270137
4,random,0.2572628275982736,0.07391292934029732,0.0747319110614383,0.9885568727930524,0.5041666666666668,0.4197254985053898,0.013966399840829664,0.03118721029334926,0.03305126185932776,0.0020331469893365914,0.015261986788774934,0.005274310386537968
4,channel,0.29555709302952465,0.2871942537654977,0.4100230762970258,0.8166554984732972,0.7295138888888889,1.1276182922091122,0.018679025063094497,0.04210752897196791,0.07168383549228942,0.013857979789091935,0.012922079212450274,0.012562617127628671
4,age_channel,0.2570790520157347,0.07589457059687309,0.12231262301123103,0.9841145947837521,0.5583333333333333,0.7558818768222401,0.011860666739283258,0.023171633190534367,0.05134179864759206,0.001953108353128826,0.004500514373894332,0.01979582126087992
4,gradient_channel,0.2597806780617328,0.10285314822412939,0.1565242026099006,0.9002000219419334,0.5819444444444445,1.0142394869215656,0.012542359330854673,0.03378378257983295,0.052714462020400726,0.016422187956575334,0.006874649261535897,0.011109173302243074
8,random,0.25720581661807734,0.07331696817751503,0.07189153644965988,0.9885568727930524,0.5041666666666668,0.3808221989743692,0.014019042266055081,0.030839834337888505,0.03348200479609807,0.0020331469893365914,0.015261986788774934,0.0034896094764316843
8,channel,0.4004369391310658,0.543890816354342,0.757760314440112,0.5933856184471534,0.9111111111111111,1.2422381033122634,0.019348052832409014,0.02847342825228925,0.048005710789227427,0.013947384914079175,0.012187450538044608,0.019960955861611302
8,age_channel,0.26953509637367423,0.17645892532147858,0.2610443170153587,0.9429189655446591,0.6208333333333333,0.7148454368074942,0.013387241706450484,0.017278214599327192,0.044675618985621966,0.004000846734648314,0.005242940580049113,0.01671377253728586
8,gradient_channel,0.2749136790575204,0.20509612814641343,0.2989282962183837,0.8474233106771202,0.6604166666666668,0.9667317257123779,0.01172512243240653,0.014716849599101222,0.03387980339931262,0.010445015656714948,0.0046584749531245456,0.022070489954090052
12,random,0.2572758582787966,0.07453042577386422,0.06838975111949407,0.9885568727930524,0.5041666666666668,0.3340187770295809,0.01404839717456719,0.030307100978961363,0.03364426569389002,0.0020331469893365914,0.015261986788774934,0.010223569430368673
12,channel,0.4643334946972437,0.6523525152293559,0.9035834380965504,0.5150115620793366,0.9833333333333333,1.4965447870037052,0.009947740096665898,0.0334200163474819,0.020967949553752762,0.0063105011579467725,0.006133167268283255,0.02935089138061302
12,age_channel,0.2805726747128639,0.23057527856879712,0.3344108197419089,0.8859666074717757,0.6781250000000001,0.6868844638074179,0.012823799452991889,0.027121085630852092,0.047900593148134794,0.0052260166025114175,0.004619491213767398,0.007844503191997134
12,gradient_channel,0.29983219320700155,0.3038612038661576,0.4333902820920689,0.7773030921349595,0.7322916666666667,1.0157876720330419,0.013957554884943576,0.021307550045685745,0.03787640769524512,0.0093065584746875,0.004619491213767411,0.04280375239772447
