jitter_scale,policy,admission_rate,rejection_rate,admitted_deadline_miss_rate,overall_late_fraction,raw_utility_per_task,on_time_utility_per_task,mean_admitted_latency_ms,p95_admitted_latency_ms
0,mean_latency,1.0,0.0,0.0,0.0,1.187594061001485,1.187594061001485,29.536558753244144,34.63507933420954
0,chance,1.0,0.0,0.0,0.0,1.187594061001485,1.187594061001485,29.536558753244144,34.63507933420954
0.25,mean_latency,1.0,0.0,0.0,0.0,1.187594061001485,1.187594061001485,29.527303687244803,37.37354958312527
0.25,chance,0.9997571428571428,0.00024285714285714465,0.0,0.0,1.1874504892990536,1.1874504892990536,29.525036567714846,37.36369775193934
0.5,mean_latency,1.0,0.0,0.001814285714285714,0.001814285714285714,1.187594061001485,1.1850993748903496,29.518110239860125,40.75532367641513
0.5,chance,0.9654857142857143,0.03451428571428572,0.0011542897006092969,0.0011142857142857144,1.1784724945017904,1.1769664655206147,29.294892306802996,40.31688904148753
0.75,mean_latency,1.0,0.0,0.012571428571428572,0.012571428571428572,1.187594061001485,1.1707705962216852,29.51051937544336,44.34146700585669
0.75,chance,0.5522857142857143,0.4477142857142857,0.0037508481482480768,0.0020714285714285713,1.0765667412931088,1.0743103789834758,28.014846912535745,41.64489641322983
1.0,mean_latency,1.0,0.0,0.03378571428571428,0.03378571428571428,1.187594061001485,1.1434729308764673,29.517313533936214,47.950091523002676
1.0,chance,0.10028571428571428,0.8997142857142857,0.0058363851171056415,0.0005857142857142858,0.997156351538985,0.9966841740272221,26.567333467523646,42.5154543013764
